"nsub" "SG_RV_volumen" "SG_RV_width" "SG_RV_depth" "SG_RV_height" "SR_volumen" "SR_width" "SR_depth" "SR_height"
1 140 5 10 2.8 201.6 6 12 2.8
2 286 6.5 11 4 288 6 12 4
3 200 5 10 4 120 4 10 3
4 2500 20 25 5 1500 15 25 4
5 720 12 15 4 700 10 20 3.5
6 72 3 8 3 78 4 6.5 3
7 84 4 7 3 112 4 8 3.5
8 352 8 11 4 180 5 9 4
9 280 7 8 5 245 7 7 5
10 399 12 9.5 3.5 308 8 11 3.5
11 140 5 8 3.5 126 4.5 8 3.5
12 250 10 10 2.5 72 3 8 3
13 140 5 7 4 140 5 7 4
14 60 4 6 2.5 52.5 3.5 5 3
15 225 5 9 5 337.5 5 15 4.5
16 78.75 4.5 7 2.5 95.625 4.5 8.5 2.5
17 25.2 3 4 2.1 45 3 6 2.5
18 1500 20 15 5 150 5 10 3
19 125 5 10 2.5 180 5 12 3
20 2000 25 8 10 1200 20 15 4
21 62.16 3.7 5.6 3 45 3 5 3
22 4500 15 30 10 4500 15 30 10
23 420 10 12 3.5 390 10 13 3
24 30 3 4 2.5 45 3 6 2.5
25 160 4 10 4 360 6 15 4
26 33.75 3 4.5 2.5 55 4 5 2.75
27 140 5 10 2.8 98 5 7 2.8
28 6000 20 20 15 3000 15 20 10
29 72 4 6 3 120 4 10 3
30 49 3.5 4 3.5 48 4 4 3
31 54 6 3 3 120 5 6 4
32 180 6 10 3 144 6 8 3
33 108 4 9 3 150 5 10 3
34 180 6 10 3 60 4 6 2.5
35 98 3.5 7 4 121.5 4.5 9 3
36 5400 18 60 5 1000 10 25 4
37 225 9 10 2.5 165 6 11 2.5
38 12 3 2 2 9 2 3 1.5
39 135 6 9 2.5 135 6 9 2.5
40 162 6 9 3 180 6 10 3
41 60 4 5 3 60 4 5 3
42 20 2 4 2.5 31.25 2.5 5 2.5
43 12 2 4 1.5 15 2.5 3 2
44 500 10 10 5 400 10 10 4
45 12240 30 17 24 29716 34 38 23
46 84 4 6 3.5 96 4 6 4
47 1500 10 15 10 2000 10 20 10
48 27 4.5 3 2 27 4.5 3 2
49 11.25 2.5 3 1.5 11.25 2.5 3 1.5
50 54 3 6 3 72 4 6 3
