subject,room_condition,target_distance,block,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n
1,OSCURAS,2,1,0.05773502691896263,0.03333333333333337,0.003333333333333339,3,1.5333333333333334,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,-0.2333333333333333,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,0.2333333333333333,0.05773502691896263,0.03333333333333337,0.003333333333333339,3
2,OSCURAS,2,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,1.3333333333333333,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,-0.3333333333333333,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.3333333333333333,0.28867513459481287,0.16666666666666666,0.08333333333333333,3
3,OSCURAS,2,1,0.05773502691896256,0.033333333333333326,0.003333333333333332,3,0.4666666666666667,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,-0.7666666666666667,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,0.7666666666666667,0.05773502691896263,0.03333333333333337,0.003333333333333339,3
4,OSCURAS,2,1,0.6429100507328637,0.37118429085533483,0.41333333333333333,3,1.2666666666666666,0.32145502536643183,0.18559214542766742,0.10333333333333333,3,-0.36666666666666664,0.32145502536643183,0.18559214542766742,0.10333333333333333,3,0.36666666666666664,0.6429100507328637,0.37118429085533483,0.41333333333333333,3
5,OSCURAS,2,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,1.1666666666666667,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,-0.4166666666666667,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.4166666666666667,0.28867513459481287,0.16666666666666666,0.08333333333333333,3
6,OSCURAS,2,1,0.15275252316519466,0.08819171036881969,0.02333333333333333,3,0.3333333333333333,0.07637626158259735,0.04409585518440985,0.0058333333333333345,3,-0.8333333333333334,0.07637626158259735,0.04409585518440985,0.0058333333333333345,3,0.8333333333333334,0.1527525231651947,0.0881917103688197,0.023333333333333338,3
7,OSCURAS,2,1,0.21794494717703367,0.12583057392117916,0.0475,3,0.25,0.10897247358851683,0.06291528696058958,0.011874999999999998,3,-0.875,0.10897247358851683,0.06291528696058958,0.011874999999999998,3,0.875,0.21794494717703367,0.12583057392117916,0.047499999999999994,3
8,OSCURAS,2,1,0.05773502691896256,0.033333333333333326,0.003333333333333332,3,0.4666666666666667,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,-0.7666666666666667,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,0.7666666666666667,0.05773502691896263,0.03333333333333337,0.003333333333333339,3
9,OSCURAS,2,1,1,0.5773502691896258,1,3,2,0.5,0.2886751345948129,0.25,3,0,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.3333333333333333,0.5773502691896257,0.3333333333333333,0.3333333333333333,3
11,OSCURAS,2,1,1.1547005383792515,0.6666666666666666,1.3333333333333333,3,1.6666666666666667,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,-0.16666666666666666,0,0,0,3,0.5,0,0,0,3
