"nsub" "nbloque" "trial" "distancia" "respuesta" "condicion_sala" "SesgoAbs" "SesgoRel"
1 1 5 6.65 1.9 "OSCURAS" -4.75 -0.714285714285714
1 1 6 9 2.1 "OSCURAS" -6.9 -0.766666666666667
1 1 2 2.7 1.8 "OSCURAS" -0.9 -0.333333333333333
1 1 3 3.65 1.7 "OSCURAS" -1.95 -0.534246575342466
1 1 1 2 1.5 "OSCURAS" -0.5 -0.25
1 1 6 9 2.2 "OSCURAS" -6.8 -0.755555555555556
1 1 4 4.9 2.1 "OSCURAS" -2.8 -0.571428571428571
1 1 1 2 1.5 "OSCURAS" -0.5 -0.25
1 1 2 2.7 1 "OSCURAS" -1.7 -0.62962962962963
1 1 4 4.9 1.7 "OSCURAS" -3.2 -0.653061224489796
1 1 2 2.7 1.6 "OSCURAS" -1.1 -0.407407407407407
1 1 1 2 1.6 "OSCURAS" -0.4 -0.2
1 1 3 3.65 1.8 "OSCURAS" -1.85 -0.506849315068493
1 1 5 6.65 2.1 "OSCURAS" -4.55 -0.684210526315789
1 1 4 4.9 2 "OSCURAS" -2.9 -0.591836734693878
1 1 5 6.65 2.2 "OSCURAS" -4.45 -0.669172932330827
1 1 3 3.65 2.1 "OSCURAS" -1.55 -0.424657534246575
1 1 6 9 2.5 "OSCURAS" -6.5 -0.722222222222222
1 2 5 6.65 2.5 "VR" -4.15 -0.62406015037594
1 2 6 9 2 "VR" -7 -0.777777777777778
1 2 5 6.65 2.1 "VR" -4.55 -0.684210526315789
1 2 3 3.65 1 "VR" -2.65 -0.726027397260274
1 2 4 4.9 1.6 "VR" -3.3 -0.673469387755102
1 2 6 9 2.7 "VR" -6.3 -0.7
1 2 4 4.9 2 "VR" -2.9 -0.591836734693878
1 2 2 2.7 1.7 "VR" -1 -0.37037037037037
1 2 3 3.65 1 "VR" -2.65 -0.726027397260274
1 2 1 2 1 "VR" -1 -0.5
1 2 1 2 1 "VR" -1 -0.5
1 2 4 4.9 2 "VR" -2.9 -0.591836734693878
1 2 2 2.7 1.8 "VR" -0.9 -0.333333333333333
1 2 5 6.65 2.5 "VR" -4.15 -0.62406015037594
