"subject","room_condition","target_distance","block","perc_dist_sd","perc_dist_sem","perc_dist_var","perc_dist_n","perc_dist","rel_bias_signed_sd","rel_bias_signed_sem","rel_bias_signed_var","rel_bias_signed_n","rel_bias_signed","rel_bias_unsigned_sd","rel_bias_unsigned_sem","rel_bias_unsigned_var","rel_bias_unsigned_n","rel_bias_unsigned","abs_bias_sd","abs_bias_sem","abs_bias_var","abs_bias_n"
"1","No visual information",2,"1",0.0866025403784439,0.05,0.0075,3,0.2,0.043301270189222,0.025,0.001875,3,-0.9,0.043301270189222,0.025,0.001875,3,0.9,0.0866025403784439,0.0500000000000001,0.00750000000000001,3
"2","No visual information",2,"1",0.0577350269189626,0.0333333333333333,0.00333333333333333,3,0.266666666666667,0.0288675134594813,0.0166666666666667,0.000833333333333335,3,-0.866666666666667,0.0288675134594813,0.0166666666666667,0.000833333333333335,3,0.866666666666667,0.0577350269189626,0.0333333333333334,0.00333333333333334,3
"3","No visual information",2,"1",0.577350269189626,0.333333333333333,0.333333333333333,3,2.66666666666667,0.288675134594813,0.166666666666667,0.0833333333333333,3,0.333333333333333,0.288675134594813,0.166666666666667,0.0833333333333333,3,0.333333333333333,0.577350269189626,0.333333333333333,0.333333333333333,3
"4","No visual information",2,"1",0.577350269189626,0.333333333333333,0.333333333333333,3,2.33333333333333,0.288675134594813,0.166666666666667,0.0833333333333333,3,0.166666666666667,0.288675134594813,0.166666666666667,0.0833333333333333,3,0.166666666666667,0.577350269189626,0.333333333333333,0.333333333333333,3
"6","No visual information",2,"1",0.0577350269189626,0.0333333333333333,0.00333333333333333,3,0.233333333333333,0.0288675134594813,0.0166666666666667,0.000833333333333335,3,-0.883333333333333,0.0288675134594813,0.0166666666666667,0.000833333333333335,3,0.883333333333333,0.0577350269189626,0.0333333333333334,0.00333333333333334,3
"7","No visual information",2,"1",0,0,0,3,2,0,0,0,3,0,0,0,0,3,0,0,0,0,3
"8","No visual information",2,"1",0.288675134594813,0.166666666666667,0.0833333333333333,3,0.666666666666667,0.144337567297406,0.0833333333333333,0.0208333333333333,3,-0.666666666666667,0.144337567297406,0.0833333333333333,0.0208333333333333,3,0.666666666666667,0.288675134594813,0.166666666666667,0.0833333333333333,3
"9","No visual information",2,"1",0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3
"10","No visual information",2,"1",0.275680975041804,0.112546286774228,0.076,6,1,0.137840487520902,0.0562731433871138,0.019,6,-0.5,0.137840487520902,0.0562731433871138,0.019,6,0.5,0.275680975041804,0.112546286774228,0.076,6
"11","No visual information",2,"1",0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3
"12","No visual information",2,"1",0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3
"13","No visual information",2,"1",0.577350269189626,0.333333333333333,0.333333333333333,3,1.66666666666667,0.288675134594813,0.166666666666667,0.0833333333333333,3,-0.166666666666667,0.288675134594813,0.166666666666667,0.0833333333333333,3,0.166666666666667,0.577350269189626,0.333333333333333,0.333333333333333,3
"14","No visual information",2,"1",0.173205080756888,0.1,0.03,3,0.3,0.0866025403784439,0.05,0.0075,3,-0.85,0.0866025403784439,0.05,0.0075,3,0.85,0.173205080756888,0.1,0.03,3
"15","No visual information",2,"1",0,0,0,3,0.5,0,0,0,3,-0.75,0,0,0,3,0.75,0,0,0,3
"16","No visual information",2,"1",0.946484724300046,0.5464532103585,0.895833333333333,3,0.916666666666667,0.473242362150023,0.27322660517925,0.223958333333333,3,-0.541666666666667,0.473242362150023,0.27322660517925,0.223958333333333,3,0.541666666666667,0.946484724300046,0.5464532103585,0.895833333333333,3
