"Subject" "Speaker_position_VE" "Speaker_position_RE" "Sight" "No_visual_info_vol" "No_visual_info_depth" "No_visual_info_width" "No_visual_info_height" "Virtual_environment_vol" "Virtual_environment_depth" "Virtual_environment_width" "Virtual_environment_height" "Real_environment_vol" "Real_environment_depth" "Real_environment_width" "Real_environment_height"
1 "0.7-1.5-2-2.25-6-20" "1-2-3-4-6-8-20" "anteojos" 20 2 2 5 2000 20 10 10 4000 20 20 10
2 "1.4-1-1.5-2.5-4-6" "1-1.3-2--3-5-6" "No" 60 4 5 3 105 7 5 3 210 10 7 3
3 "1-2-4-5-7-9" "2-3-4-5-6-8" "anteojos" 840 7 10 12 512 8 8 8 2250 10 15 15
4 "1-1.5-2-5-10-12" "1-1.5-2-2.5-4-5" "No" 150 10 5 3 225 15 5 3 144 8 6 3
5 "1-1.5-3-5-8-11" "1-1.5-3-5-7-9" "No" 90 5 6 3 120 10 4 3 180 10 6 3
6 "0.5-1-2-5-8-10" "1.5-2-2.5-3-5-7" "anteojos" 8000 20 20 20 500 12.5 8 5 1500 15 10 10
7 "2-3-4-6-10-18" "1.3-1.8-2.4-3-4-10" "No" 750 15 10 5 1000 20 10 5 480 15 8 4
8 "1-2-3-4-5-6" "2-2.5-3-4-5-6" "anteojos" 56 4 4 3.5 132 8 5.5 3 132 8 5.5 3
9 "1-2-3-4.5-5-7" "1.5-2-3-4-4.5-5.5" "No" 48 4 4 3 72 8 3 3 168 8 6 3.5
10 "1-2-2.1-4-6-8" "1.5-2-3-4.2-5.7-7" "anteojos" 48 4 4 3 52.5 6 3.5 2.5 112.5 10 4.5 2.5
11 "1-1.5-2-3-5-7" "1-1.5-2-2.5-3-5" "No" 182 6.5 8 3.5 180 12 5 3 120 10 6 2
12 "1-1.5-2.3-5-6-8" "1.5-1.8-2-3-4-6" "No" 24000 20 30 40 9000 15 30 20 2700 15 15 12
13 "1.5-3-5-6-8-15" "2-3-4-5-6.5-8.5" "No" 500 10 10 5 1950 30 10 6.5 750 15 10 5
14 "1-2-3-4-5-7" "1.5-2-2.5-3.5-4.5-6" "No" 48 4 4 3 54 6 3 3 162 6 9 3
15 "1-1.5-2-3-7-10" "1-1.5-2-3-5-8.5" "No" 27 3 3 3 450 15 10 3 348 12 10 2.9
16 "1.2-2-3.5-7-10-14" "1.3-2-3-4.5-6-10" "No" 40 2 8 2.5 528 15 16 2.2 184 10 8 2.3
