"nsub" "nbloque" "distanca_max" "room_condition" "perceived_depth"
1 1 2.5 "Sala Grande" 10
1 2 2.5 "Sala Chica" 7
10 1 4.5 "Sala Chica" 9.5
10 2 6 "Sala Grande" 8
11 1 5.5 "Sala Grande" 8
11 2 5 "Sala Chica" 4.5
12 1 2 "Sala Grande" 10
12 2 1.6 "Sala Chica" 4
13 1 4 "Sala Chica" 7
13 2 4 "Sala Grande" 6
14 1 5 "Sala Grande" 6
14 2 3 "Sala Chica" 4.5
15 1 1.6 "Sala Chica" 9
15 2 3 "Sala Grande" 3
16 1 4 "Sala Grande" 7
16 2 3 "Sala Chica" 5
17 1 2.5 "Sala Chica" 4
17 2 3.5 "Sala Grande" 2
18 1 4 "Sala Grande" 15
18 2 6 "Sala Chica" 10
19 1 2 "Sala Chica" 10
19 2 1 "Sala Grande" 7
2 1 1.3 "Sala Chica" 11
2 2 1 "Sala Grande" 8
20 1 2 "Sala Grande" 8
20 2 2.5 "Sala Chica" 4
23 1 10 "Sala Chica" 12
23 2 8 "Sala Grande" 10
24 1 3 "Sala Grande" 4
24 2 2 "Sala Chica" 3.5
25 1 5.5 "Sala Chica" 10
25 2 5.5 "Sala Grande" 6
26 1 3 "Sala Grande" 4.5
26 2 2.5 "Sala Chica" 3.5
27 1 5 "Sala Chica" 10
27 2 5.5 "Sala Grande" 7
29 1 4.5 "Sala Chica" 6
29 2 4 "Sala Grande" 8
3 1 1.5 "Sala Grande" 10
3 2 1.2 "Sala Chica" 6
30 1 4 "Sala Grande" 4
30 2 2.5 "Sala Chica" 2.5
31 1 2 "Sala Chica" 3
31 2 2 "Sala Grande" 8
33 1 15 "Sala Chica" 9
33 2 10 "Sala Grande" 5
34 1 9 "Sala Grande" 10
34 2 7 "Sala Chica" 5
35 1 6 "Sala Chica" 7
35 2 5 "Sala Grande" 5
36 1 3 "Sala Grande" 60
36 2 5 "Sala Chica" 40
37 1 10 "Sala Chica" 10
37 2 9 "Sala Grande" 5
39 1 5 "Sala Chica" 9
39 2 4 "Sala Grande" 9
4 1 12 "Sala Chica" 25
4 2 10 "Sala Grande" 15
40 1 5 "Sala Grande" 9
40 2 4 "Sala Chica" 8
41 1 2.5 "Sala Chica" 5
41 2 3 "Sala Grande" 2
42 1 3 "Sala Grande" 4
42 2 3 "Sala Chica" 3
43 1 0.8 "Sala Chica" 4
43 2 0.8 "Sala Grande" 2
44 1 4.5 "Sala Grande" 10
44 2 5 "Sala Chica" 5
46 1 5 "Sala Grande" 6
47 1 12 "Sala Chica" 15
47 2 11 "Sala Grande" 6
48 1 1.5 "Sala Grande" 3
48 2 1.1 "Sala Chica" 1.5
49 1 2 "Sala Chica" 3
49 2 2.2 "Sala Grande" 2
50 1 5 "Sala Grande" 6
50 2 4 "Sala Chica" 5
6 1 5 "Sala Chica" 8
6 2 6 "Sala Grande" 5
7 1 3.2 "Sala Grande" 7
7 2 3 "Sala Chica" 5
8 1 9 "Sala Chica" 11
8 2 8.7 "Sala Grande" 7
9 1 7.5 "Sala Grande" 8
9 2 5 "Sala Chica" 8
