subject,room_condition,target_distance,block,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n
3,No visual information,2,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,1.1666666666666667,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,-0.4166666666666667,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.4166666666666667,0.28867513459481287,0.16666666666666666,0.08333333333333333,3
4,No visual information,2,1,0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3
5,No visual information,2,1,0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3
6,No visual information,2,1,0,0,0,3,0.5,0,0,0,3,-0.75,0,0,0,3,0.75,0,0,0,3
7,No visual information,2,1,0,0,0,3,0.5,0,0,0,3,-0.75,0,0,0,3,0.75,0,0,0,3
8,No visual information,2,1,1.7320508075688772,1,3,3,3,0.8660254037844386,0.5,0.75,3,0.5,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.8333333333333334,0.5773502691896257,0.3333333333333333,0.3333333333333333,3
9,No visual information,2,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,1.3333333333333333,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,-0.3333333333333333,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.3333333333333333,0.28867513459481287,0.16666666666666666,0.08333333333333333,3
11,No visual information,2,1,0.16072751268321592,0.09279607271383371,0.025833333333333333,3,0.31666666666666665,0.08036375634160797,0.04639803635691686,0.006458333333333335,3,-0.8416666666666667,0.08036375634160797,0.04639803635691686,0.006458333333333335,3,0.8416666666666667,0.16072751268321595,0.09279607271383372,0.02583333333333334,3
12,No visual information,2,1,0.2,0.11547005383792516,0.04000000000000001,3,0.8,0.09999999999999998,0.05773502691896257,0.009999999999999995,3,-0.6,0.09999999999999998,0.05773502691896257,0.009999999999999995,3,0.6,0.19999999999999996,0.11547005383792514,0.03999999999999998,3
13,No visual information,2,1,0.17320508075688776,0.10000000000000002,0.03000000000000001,3,0.9,0.08660254037844388,0.05000000000000001,0.007500000000000002,3,-0.55,0.08660254037844388,0.05000000000000001,0.007500000000000002,3,0.55,0.17320508075688776,0.10000000000000002,0.03000000000000001,3
14,No visual information,2,1,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,1.6666666666666667,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,-0.16666666666666666,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.16666666666666666,0.5773502691896257,0.3333333333333333,0.3333333333333333,3
15,No visual information,2,1,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,1.3333333333333333,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,-0.3333333333333333,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.3333333333333333,0.5773502691896257,0.3333333333333333,0.3333333333333333,3
17,No visual information,2,1,0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3
18,No visual information,2,1,0.05773502691896258,0.03333333333333334,0.0033333333333333335,3,0.16666666666666669,0.02886751345948125,0.016666666666666646,8.333333333333311e-4,3,-0.9166666666666666,0.02886751345948125,0.016666666666666646,8.333333333333311e-4,3,0.9166666666666666,0.0577350269189625,0.03333333333333329,0.0033333333333333244,3
19,No visual information,2,1,0.15275252316519466,0.08819171036881969,0.02333333333333333,3,0.3333333333333333,0.07637626158259735,0.04409585518440985,0.0058333333333333345,3,-0.8333333333333334,0.07637626158259735,0.04409585518440985,0.0058333333333333345,3,0.8333333333333334,0.1527525231651947,0.0881917103688197,0.023333333333333338,3
