subject,room_condition,target_distance,block,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n,log_bias_sd,log_bias_sem,log_bias_var,log_bias_n,log_bias_m,log_bias_unsigned_sd,log_bias_unsigned_sem,log_bias_unsigned_var,log_bias_unsigned_n,log_bias_unsigned_m
2,No visual information,2,1,0.7637626158259734,0.4409585518440985,0.5833333333333334,3,1.1666666666666667,0.3818813079129867,0.22047927592204924,0.14583333333333334,3,-0.4166666666666667,0.3818813079129867,0.22047927592204924,0.14583333333333334,3,0.4166666666666667,0.7637626158259734,0.4409585518440985,0.5833333333333334,3,0.3010299956639812,0.17379974903075143,0.09061905828945654,3,-0.3010299956639812,0.3010299956639812,0.17379974903075143,0.09061905828945654,3,0.3010299956639812
3,No visual information,2,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,1.1666666666666667,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,-0.4166666666666667,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.4166666666666667,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.1016663358177377,0.05869708635189375,0.010336043838605015,3,-0.24233290931208745,0.1016663358177377,0.05869708635189375,0.010336043838605015,3,0.24233290931208745
4,No visual information,2,1,0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3,0,0,0,3,-0.3010299956639812,0,0,0,3,0.3010299956639812
5,No visual information,2,1,0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3,0,0,0,3,-0.3010299956639812,0,0,0,3,0.3010299956639812
6,No visual information,2,1,0,0,0,3,0.5,0,0,0,3,-0.75,0,0,0,3,0.75,0,0,0,3,0,0,0,3,-0.6020599913279624,0,0,0,3,0.6020599913279624
7,No visual information,2,1,0,0,0,3,0.5,0,0,0,3,-0.75,0,0,0,3,0.75,0,0,0,3,0,0,0,3,-0.6020599913279624,0,0,0,3,0.6020599913279624
8,No visual information,2,1,1.7320508075688772,1,3,3,3,0.8660254037844386,0.5,0.75,3,0.5,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.8333333333333334,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,0.34759949806150287,0.20068666377598748,0.12082541105260872,3,0.10034333188799373,0,0,0,3,0.3010299956639812
9,No visual information,2,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,1.3333333333333333,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,-0.3333333333333333,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.3333333333333333,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.1016663358177377,0.05869708635189375,0.010336043838605015,3,-0.1836358229601937,0.1016663358177377,0.05869708635189375,0.010336043838605015,3,0.1836358229601937
10,No visual information,2,1,1.1547005383792515,0.6666666666666666,1.3333333333333333,3,4.666666666666667,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,1.3333333333333333,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,1.3333333333333333,1.1547005383792515,0.6666666666666666,1.3333333333333333,3,0.1016663358177377,0.05869708635189375,0.010336043838605013,3,0.35972708201587494,0.1016663358177377,0.05869708635189375,0.010336043838605013,3,0.35972708201587494
11,No visual information,2,1,0.16072751268321592,0.09279607271383371,0.025833333333333333,3,0.31666666666666665,0.08036375634160797,0.04639803635691686,0.006458333333333335,3,-0.8416666666666667,0.08036375634160797,0.04639803635691686,0.006458333333333335,3,0.8416666666666667,0.16072751268321595,0.09279607271383372,0.02583333333333334,3,0.20751179059376343,0.11980698815933058,0.04306114323542992,3,-0.8350499927733019,0.20751179059376343,0.11980698815933058,0.04306114323542992,3,0.8350499927733019
12,No visual information,2,1,0.2,0.11547005383792516,0.04000000000000001,3,0.8,0.09999999999999998,0.05773502691896257,0.009999999999999995,3,-0.6,0.09999999999999998,0.05773502691896257,0.009999999999999995,3,0.6,0.19999999999999996,0.11547005383792514,0.03999999999999998,3,0.11121908276973023,0.06421236737612702,0.012369684372140106,3,-0.40728291653878546,0.11121908276973023,0.06421236737612702,0.012369684372140106,3,0.40728291653878546
13,No visual information,2,1,0.17320508075688776,0.10000000000000002,0.03000000000000001,3,0.9,0.08660254037844388,0.05000000000000001,0.007500000000000002,3,-0.55,0.08660254037844388,0.05000000000000001,0.007500000000000002,3,0.55,0.17320508075688776,0.10000000000000002,0.03000000000000001,3,0.08943268829576946,0.0516339866619144,0.007998205735808261,3,-0.3526639823258956,0.08943268829576946,0.0516339866619144,0.007998205735808261,3,0.3526639823258956
14,No visual information,2,1,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,1.6666666666666667,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,-0.16666666666666666,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.16666666666666666,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,0.17379974903075143,0.10034333188799374,0.03020635276315218,3,-0.10034333188799373,0.17379974903075143,0.10034333188799374,0.03020635276315218,3,0.10034333188799373
15,No visual information,2,1,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,1.3333333333333333,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,-0.3333333333333333,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.3333333333333333,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,0.17379974903075143,0.10034333188799374,0.03020635276315218,3,-0.20068666377598746,0.17379974903075143,0.10034333188799374,0.03020635276315218,3,0.20068666377598746
16,No visual information,2,1,0.36055512754639896,0.2081665999466133,0.13,3,0.6,0.18027756377319945,0.10408329997330663,0.032499999999999994,3,-0.7,0.18027756377319945,0.10408329997330663,0.032499999999999994,3,0.7,0.3605551275463989,0.20816659994661327,0.12999999999999998,3,0.26243669340170955,0.1515178955807123,0.0688730180436229,3,-0.5756662426454208,0.26243669340170955,0.1515178955807123,0.0688730180436229,3,0.5756662426454208
17,No visual information,2,1,0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3,0,0,0,3,-0.3010299956639812,0,0,0,3,0.3010299956639812
19,No visual information,2,1,0.15275252316519466,0.08819171036881969,0.02333333333333333,3,0.3333333333333333,0.07637626158259735,0.04409585518440985,0.0058333333333333345,3,-0.8333333333333334,0.07637626158259735,0.04409585518440985,0.0058333333333333345,3,0.8333333333333334,0.1527525231651947,0.0881917103688197,0.023333333333333338,3,0.19940797782605438,0.11512824967643143,0.0397635416206762,3,-0.8086562440907604,0.19940797782605438,0.11512824967643143,0.0397635416206762,3,0.8086562440907604
20,No visual information,2,1,0.5507570547286103,0.3179797338056486,0.30333333333333334,3,0.9666666666666667,0.2753785273643051,0.1589898669028243,0.07583333333333335,3,-0.5166666666666667,0.2753785273643051,0.1589898669028243,0.07583333333333335,3,0.5166666666666667,0.5507570547286103,0.3179797338056486,0.3033333333333334,3,0.29407376578754535,0.16978356783904627,0.08647937972446806,3,-0.3749795788694333,0.29407376578754535,0.16978356783904627,0.08647937972446806,3,0.3749795788694333
2,No visual information,2.7,1,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,3.3333333333333335,0.21383343303319471,0.12345679012345678,0.04572473708276177,3,0.23456790123456783,0.21383343303319471,0.12345679012345678,0.04572473708276177,3,0.23456790123456783,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,0.07213341321301375,0.0416462455361,0.005203229301759388,3,0.08740373609677506,0.07213341321301375,0.0416462455361,0.005203229301759388,3,0.08740373609677506
