"Subject" "No_Visual_volumen" "No_Visual_width" "No_Visual_depth" "No_Visual_height" "Visual_volumen" "Visual_width" "Visual_depth" "Visual_height"
1 NA NA NA NA 150 3 20 2.5
2 15000 25 20 30 1500 15 20 5
3 36 3 4 3 126 6 7 3
4 36 3 4 3 120 4 10 3
5 54 3 6 3 270 6 15 3
6 60 4 5 3 157.5 5 9 3.5
7 100 5 5 4 160 5 8 4
8 150 5 3 10 576 8 6 12
9 144 6 6 4 288 6 12 4
10 210 7 10 3 600 8 25 3
11 480 4 8 15 60 4 6 2.5
12 75 10 3 2.5 120 5 8 3
13 40.5 4.5 3 3 75.6 4.5 6 2.8
14 360 6 6 10 2250 15 10 15
15 1050 7 10 15 440 5.5 8 10
16 1200 20 20 3 1200 10 40 3
17 500 10 10 5 600 10 20 3
18 108 6 6 3 240 6 10 4
19 16 2 4 2 30 3 5 2
20 75 5 5 3 148.75 5 8.5 3.5
