subject,room_condition,target_distance,block,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n,log_bias_sd,log_bias_sem,log_bias_var,log_bias_n,log_bias_m,log_bias_unsigned_sd,log_bias_unsigned_sem,log_bias_unsigned_var,log_bias_unsigned_n,log_bias_unsigned_m
1,No visual information,2,1,0.05773502691896263,0.03333333333333337,0.003333333333333339,3,1.5333333333333334,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,-0.2333333333333333,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,0.2333333333333333,0.05773502691896263,0.03333333333333337,0.003333333333333339,3,0.016182391115642226,0.009342907866747848,2.618697822196164e-4,3,-0.11559582874155208,0.016182391115642226,0.009342907866747848,2.618697822196164e-4,3,0.11559582874155208
2,No visual information,2,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,1.3333333333333333,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,-0.3333333333333333,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.3333333333333333,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.10166633581773771,0.05869708635189376,0.010336043838605017,3,-0.18363582296019368,0.10166633581773771,0.05869708635189376,0.010336043838605017,3,0.18363582296019368
3,No visual information,2,1,0.05773502691896256,0.033333333333333326,0.003333333333333332,3,0.4666666666666667,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,-0.7666666666666667,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,0.7666666666666667,0.05773502691896263,0.03333333333333337,0.003333333333333339,3,0.05595102209737147,0.03230333766935212,0.0031305168737405503,3,-0.6343633289973145,0.05595102209737147,0.03230333766935212,0.0031305168737405503,3,0.6343633289973145
4,No visual information,2,1,0.6429100507328637,0.37118429085533483,0.41333333333333333,3,1.2666666666666666,0.32145502536643183,0.18559214542766742,0.10333333333333333,3,-0.36666666666666664,0.32145502536643183,0.18559214542766742,0.10333333333333333,3,0.36666666666666664,0.6429100507328637,0.37118429085533483,0.41333333333333333,3,0.20751179059376343,0.11980698815933058,0.04306114323542993,3,-0.2329900014453396,0.20751179059376343,0.11980698815933058,0.04306114323542993,3,0.2329900014453396
5,No visual information,2,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,1.1666666666666667,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,-0.4166666666666667,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.4166666666666667,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.10166633581773771,0.05869708635189376,0.010336043838605017,3,-0.24233290931208745,0.10166633581773771,0.05869708635189376,0.010336043838605017,3,0.24233290931208745
6,No visual information,2,1,0.15275252316519466,0.08819171036881969,0.02333333333333333,3,0.3333333333333333,0.07637626158259735,0.04409585518440985,0.0058333333333333345,3,-0.8333333333333334,0.07637626158259735,0.04409585518440985,0.0058333333333333345,3,0.8333333333333334,0.1527525231651947,0.0881917103688197,0.023333333333333338,3,0.19940797782605438,0.11512824967643143,0.0397635416206762,3,-0.8086562440907604,0.19940797782605438,0.11512824967643143,0.0397635416206762,3,0.8086562440907604
7,No visual information,2,1,0.21794494717703367,0.12583057392117916,0.0475,3,0.25,0.10897247358851683,0.06291528696058958,0.011874999999999998,3,-0.875,0.10897247358851683,0.06291528696058958,0.011874999999999998,3,0.875,0.21794494717703367,0.12583057392117916,0.047499999999999994,3,0.3635403188880268,0.20989010097128466,0.13216156345720823,3,-1.0093429078667477,0.3635403188880268,0.20989010097128466,0.13216156345720823,3,1.0093429078667477
8,No visual information,2,1,0.05773502691896256,0.033333333333333326,0.003333333333333332,3,0.4666666666666667,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,-0.7666666666666667,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,0.7666666666666667,0.05773502691896263,0.03333333333333337,0.003333333333333339,3,0.05595102209737147,0.03230333766935212,0.0031305168737405503,3,-0.6343633289973145,0.05595102209737147,0.03230333766935212,0.0031305168737405503,3,0.6343633289973145
9,No visual information,2,1,1,0.5773502691896258,1,3,2,0.5,0.2886751345948129,0.25,3,0,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.3333333333333333,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,0.2412715902292603,0.13929821756667254,0.0582119802517561,3,-0.04164624553609999,0.15123760429125518,0.08731707154915029,0.02287281295175829,3,0.1590404182398875
10,No visual information,2,1,1.588500340992514,0.9171210994798403,2.5233333333333334,3,1.1666666666666667,0.794250170496257,0.45856054973992016,0.6308333333333334,3,-0.4166666666666667,0.21794494717703367,0.12583057392117916,0.0475,3,0.75,0.43588989435406733,0.2516611478423583,0.19,3,0.6343236268056174,0.3662269166895629,0.4023664635238321,3,-0.5492724939628791,0.4338781001542566,0.2504996379195435,0.18825020579346713,3,0.6666666666666666
11,No visual information,2,1,1.1547005383792515,0.6666666666666666,1.3333333333333333,3,1.6666666666666667,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,-0.16666666666666666,0,0,0,3,0.5,0,0,0,3,0.2754660848484891,0.1590404182398875,0.075881563901755,3,-0.1419895774240937,0.07213341321301374,0.04164624553609999,0.005203229301759384,3,0.25938375012788123
12,No visual information,2,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.6666666666666666,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,-0.6666666666666666,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.6666666666666666,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.17379974903075143,0.10034333188799374,0.03020635276315218,3,-0.5017166594399687,0.17379974903075143,0.10034333188799374,0.03020635276315218,3,0.5017166594399687
13,No visual information,2,1,0.06429100507328638,0.037118429085533484,0.004133333333333334,3,0.12666666666666668,0.03214550253664315,0.018559214542766725,0.0010333333333333312,3,-0.9366666666666666,0.03214550253664315,0.018559214542766725,0.0010333333333333312,3,0.9366666666666666,0.0642910050732863,0.03711842908553345,0.004133333333333325,3,0.2075117905937634,0.11980698815933055,0.043061143235429915,3,-1.2329900014453397,0.2075117905937634,0.11980698815933055,0.043061143235429915,3,1.2329900014453397
14,No visual information,2,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.8333333333333334,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,-0.5833333333333334,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.5833333333333334,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.17379974903075143,0.10034333188799374,0.03020635276315218,3,-0.4013733275519749,0.17379974903075143,0.10034333188799374,0.03020635276315218,3,0.4013733275519749
15,No visual information,2,1,0,0,0,3,2,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0
16,No visual information,2,1,0.10000000000000003,0.0577350269189626,0.010000000000000007,3,1,0.050000000000000044,0.028867513459481315,0.0025000000000000044,3,-0.5,0.050000000000000044,0.028867513459481315,0.0025000000000000044,3,0.5,0.10000000000000009,0.05773502691896263,0.010000000000000018,3,0.04359330119573687,0.02516860418022312,0.001900375909142234,3,-0.3024849307981312,0.04359330119573687,0.02516860418022312,0.001900375909142234,3,0.3024849307981312
17,No visual information,2,1,0.15275252316519466,0.08819171036881969,0.02333333333333333,3,0.3666666666666667,0.07637626158259735,0.04409585518440985,0.0058333333333333345,3,-0.8166666666666667,0.07637626158259735,0.04409585518440985,0.0058333333333333345,3,0.8166666666666667,0.1527525231651947,0.0881917103688197,0.023333333333333338,3,0.20751179059376343,0.11980698815933058,0.04306114323542993,3,-0.7670099985546603,0.20751179059376343,0.11980698815933058,0.04306114323542993,3,0.7670099985546603
18,No visual information,2,1,1.1547005383792515,0.6666666666666666,1.3333333333333333,3,2.3333333333333335,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,0.16666666666666666,0,0,0,3,0.5,0,0,0,3,0.2754660848484891,0.1590404182398875,0.075881563901755,3,0.01705084081579376,0.07213341321301374,0.04164624553609999,0.005203229301759384,3,0.21773750459178123
19,No visual information,2,1,0.05773502691896256,0.033333333333333326,0.003333333333333332,3,0.26666666666666666,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,-0.8666666666666667,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,0.8666666666666667,0.05773502691896263,0.03333333333333337,0.003333333333333339,3,0.1016663358177377,0.05869708635189375,0.010336043838605013,3,-0.8826058272962125,0.1016663358177377,0.05869708635189375,0.010336043838605013,3,0.8826058272962125
20,No visual information,2,1,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,0.8333333333333334,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,-0.5833333333333334,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.5833333333333334,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,0.2754660848484891,0.1590404182398875,0.07588156390175502,3,-0.44301957308807494,0.2754660848484891,0.1590404182398875,0.07588156390175502,3,0.44301957308807494
1,No visual information,2.7,1,0.4163331998932266,0.24037008503093266,0.17333333333333337,3,1.4666666666666668,0.15419748144193576,0.08902595741886395,0.02377686328303612,3,-0.45679012345679015,0.15419748144193576,0.08902595741886395,0.02377686328303612,3,0.45679012345679015,0.4163331998932266,0.24037008503093266,0.17333333333333337,3,0.13505899928913928,0.07797634959606604,0.018240933288983723,3,-0.2782329349059104,0.13505899928913928,0.07797634959606604,0.018240933288983723,3,0.2782329349059104
2,No visual information,2.7,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,2.1666666666666665,0.10691671651659736,0.06172839506172839,0.011431184270690441,3,-0.1975308641975309,0.10691671651659736,0.06172839506172839,0.011431184270690441,3,0.1975308641975309,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.05595102209737149,0.03230333766935213,0.0031305168737405524,3,-0.098030430825654,0.05595102209737149,0.03230333766935213,0.0031305168737405524,3,0.098030430825654
3,No visual information,2.7,1,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.5833333333333334,0.05345835825829873,0.030864197530864227,0.002857796067672616,3,-0.7839506172839507,0.05345835825829873,0.030864197530864227,0.002857796067672616,3,0.7839506172839507,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.1016663358177377,0.05869708635189375,0.010336043838605013,3,-0.6736966734710748,0.1016663358177377,0.05869708635189375,0.010336043838605013,3,0.6736966734710748
4,No visual information,2.7,1,0.7637626158259734,0.4409585518440985,0.5833333333333334,3,2.1666666666666665,0.2828750428985086,0.1633179821644809,0.08001828989483309,3,-0.1975308641975309,0.1670092501045517,0.09642283550502047,0.0278920896204847,3,0.2716049382716049,0.4509249752822896,0.26034165586355523,0.20333333333333348,3,0.15123760429125518,0.08731707154915029,0.022872812951758286,3,-0.1132829276792124,0.1054034914137907,0.06085473414127847,0.011109896002217049,3,0.1437879213863291
5,No visual information,2.7,1,0,0,0,3,1.5,0,0,0,3,-0.4444444444444445,0,0,0,3,0.4444444444444445,0,0,0,3,0,0,0,3,-0.2552725051033061,0,0,0,3,0.2552725051033061
6,No visual information,2.7,1,0.36055512754639896,0.2081665999466133,0.13,3,0.6,0.13353893612829593,0.0770987407209679,0.0178326474622771,3,-0.7777777777777778,0.13353893612829593,0.0770987407209679,0.0178326474622771,3,0.7777777777777778,0.360555127546399,0.20816659994661332,0.13000000000000006,3,0.26243669340170955,0.1515178955807123,0.06887301804362289,3,-0.7060000111404269,0.26243669340170955,0.1515178955807123,0.06887301804362289,3,0.7060000111404269
7,No visual information,2.7,1,0.02516611478423584,0.014529663145135584,6.333333333333337e-4,3,0.17333333333333334,0.00932078325342078,0.005381356720420644,8.687700045724927e-5,3,-0.9358024691358025,0.00932078325342078,0.005381356720420644,8.687700045724927e-5,3,0.9358024691358025,0.02516611478423597,0.014529663145135659,6.333333333333403e-4,3,0.06264467442885,0.03616791964479301,0.0039243552342966125,3,-1.1955070387930085,0.06264467442885,0.03616791964479301,0.0039243552342966125,3,1.1955070387930085
8,No visual information,2.7,1,0.02886751345948128,0.016666666666666663,8.33333333333333e-4,3,0.4666666666666667,0.010691671651659655,0.006172839506172793,1.1431184270690271e-4,3,-0.8271604938271605,0.010691671651659655,0.006172839506172793,1.1431184270690271e-4,3,0.8271604938271605,0.028867513459481187,0.016666666666666607,8.333333333333274e-4,3,0.026418099492647545,0.015252496853558376,6.979159808034245e-4,3,-0.7628987535300853,0.026418099492647545,0.015252496853558376,6.979159808034245e-4,3,0.7628987535300853
