"nsub" "nbloque" "trial" "distancia" "respuesta" "condicion_sala"
1 1 5 6.65 1.9 "OSCURAS"
1 1 6 9 2.1 "OSCURAS"
1 1 2 2.7 1.8 "OSCURAS"
1 1 3 3.65 1.7 "OSCURAS"
1 1 1 2 1.5 "OSCURAS"
1 1 6 9 2.2 "OSCURAS"
1 1 4 4.9 2.1 "OSCURAS"
1 1 1 2 1.5 "OSCURAS"
1 1 2 2.7 1 "OSCURAS"
1 1 4 4.9 1.7 "OSCURAS"
1 1 2 2.7 1.6 "OSCURAS"
1 1 1 2 1.6 "OSCURAS"
1 1 3 3.65 1.8 "OSCURAS"
1 1 5 6.65 2.1 "OSCURAS"
1 1 4 4.9 2 "OSCURAS"
1 1 5 6.65 2.2 "OSCURAS"
1 1 3 3.65 2.1 "OSCURAS"
1 1 6 9 2.5 "OSCURAS"
1 2 5 6.65 2.5 "VR"
1 2 6 9 2 "VR"
1 2 5 6.65 2.1 "VR"
1 2 3 3.65 1 "VR"
1 2 4 4.9 1.6 "VR"
1 2 6 9 2.7 "VR"
1 2 4 4.9 2 "VR"
1 2 2 2.7 1.7 "VR"
1 2 3 3.65 1 "VR"
1 2 1 2 1 "VR"
1 2 1 2 1 "VR"
1 2 4 4.9 2 "VR"
1 2 2 2.7 1.8 "VR"
1 2 5 6.65 2.5 "VR"
1 2 2 2.7 1.5 "VR"
1 2 3 3.65 1.2 "VR"
1 2 6 9 2.8 "VR"
1 2 1 2 1.2 "VR"
10 1 2 2.7 0.7 "OSCURAS"
10 1 3 3.65 2 "OSCURAS"
10 1 1 2 0.3 "OSCURAS"
10 1 6 9 7 "OSCURAS"
10 1 1 2 3 "OSCURAS"
10 1 2 2.7 1 "OSCURAS"
10 1 5 6.65 10 "OSCURAS"
10 1 3 3.65 3 "OSCURAS"
10 1 2 2.7 1 "OSCURAS"
10 1 4 4.9 5 "OSCURAS"
10 1 1 2 0.2 "OSCURAS"
10 1 5 6.65 6 "OSCURAS"
10 1 3 3.65 5 "OSCURAS"
10 1 6 9 10 "OSCURAS"
10 1 4 4.9 3 "OSCURAS"
10 1 6 9 13 "OSCURAS"
10 1 5 6.65 11 "OSCURAS"
10 1 4 4.9 6 "OSCURAS"
10 2 6 9 15 "VR"
10 2 4 4.9 10 "VR"
10 2 5 6.65 5 "VR"
10 2 1 2 1 "VR"
10 2 1 2 3 "VR"
10 2 6 9 15 "VR"
10 2 4 4.9 20 "VR"
10 2 6 9 25 "VR"
10 2 2 2.7 3 "VR"
10 2 5 6.65 7 "VR"
10 2 3 3.65 8 "VR"
10 2 1 2 1 "VR"
10 2 4 4.9 7 "VR"
10 2 2 2.7 5 "VR"
10 2 3 3.65 7 "VR"
10 2 5 6.65 10 "VR"
10 2 3 3.65 5 "VR"
10 2 2 2.7 1 "VR"
11 1 3 3.65 2 "OSCURAS"
11 1 3 3.65 2 "OSCURAS"
11 1 6 9 4 "OSCURAS"
11 1 2 2.7 1.5 "OSCURAS"
11 1 5 6.65 3 "OSCURAS"
11 1 1 2 1 "OSCURAS"
11 1 2 2.7 1 "OSCURAS"
11 1 5 6.65 4 "OSCURAS"
11 1 2 2.7 3 "OSCURAS"
11 1 1 2 1 "OSCURAS"
11 1 4 4.9 4 "OSCURAS"
11 1 5 6.65 5 "OSCURAS"
11 1 6 9 6 "OSCURAS"
11 1 1 2 3 "OSCURAS"
11 1 4 4.9 5 "OSCURAS"
11 1 4 4.9 6 "OSCURAS"
11 1 3 3.65 4 "OSCURAS"
11 1 6 9 6 "OSCURAS"
11 2 4 4.9 4 "VR"
11 2 5 6.65 4 "VR"
11 2 1 2 1 "VR"
11 2 2 2.7 2 "VR"
11 2 3 3.65 2 "VR"
11 2 6 9 4 "VR"
11 2 3 3.65 1 "VR"
11 2 2 2.7 1 "VR"
11 2 1 2 1 "VR"
11 2 6 9 3 "VR"
11 2 3 3.65 1 "VR"
11 2 4 4.9 2 "VR"
11 2 2 2.7 1 "VR"
11 2 4 4.9 2 "VR"
11 2 1 2 1 "VR"
11 2 6 9 5 "VR"
11 2 5 6.65 5 "VR"
11 2 5 6.65 5 "VR"
12 1 4 4.9 1 "OSCURAS"
12 1 4 4.9 1 "OSCURAS"
12 1 3 3.65 0.5 "OSCURAS"
12 1 6 9 2 "OSCURAS"
12 1 6 9 3 "OSCURAS"
12 1 5 6.65 3 "OSCURAS"
12 1 4 4.9 1 "OSCURAS"
12 1 3 3.65 1 "OSCURAS"
12 1 1 2 0.5 "OSCURAS"
12 1 6 9 3 "OSCURAS"
12 1 5 6.65 3 "OSCURAS"
12 1 2 2.7 1.5 "OSCURAS"
12 1 3 3.65 1 "OSCURAS"
12 1 2 2.7 1 "OSCURAS"
12 1 1 2 1 "OSCURAS"
12 1 2 2.7 1 "OSCURAS"
12 1 1 2 0.5 "OSCURAS"
12 1 5 6.65 3 "OSCURAS"
12 2 5 6.65 2 "VR"
12 2 6 9 2 "VR"
12 2 1 2 1.5 "VR"
12 2 6 9 2.5 "VR"
12 2 2 2.7 1.5 "VR"
12 2 5 6.65 2 "VR"
12 2 6 9 2.5 "VR"
12 2 4 4.9 1 "VR"
12 2 3 3.65 1 "VR"
12 2 5 6.65 2 "VR"
12 2 2 2.7 1 "VR"
12 2 4 4.9 1 "VR"
12 2 3 3.65 0.5 "VR"
12 2 3 3.65 1 "VR"
12 2 1 2 0.5 "VR"
12 2 4 4.9 0.5 "VR"
12 2 1 2 0.5 "VR"
12 2 2 2.7 0.5 "VR"
13 1 5 6.65 2.2 "OSCURAS"
13 1 6 9 2.3 "OSCURAS"
13 1 4 4.9 2 "OSCURAS"
13 1 1 2 0.2 "OSCURAS"
13 1 5 6.65 1 "OSCURAS"
13 1 2 2.7 0.4 "OSCURAS"
13 1 6 9 3 "OSCURAS"
13 1 3 3.65 1.4 "OSCURAS"
13 1 1 2 0.1 "OSCURAS"
13 1 1 2 0.08 "OSCURAS"
13 1 4 4.9 1.5 "OSCURAS"
13 1 5 6.65 4 "OSCURAS"
13 1 3 3.65 2 "OSCURAS"
13 1 4 4.9 2 "OSCURAS"
13 1 2 2.7 1.1 "OSCURAS"
13 1 3 3.65 1 "OSCURAS"
13 1 6 9 4 "OSCURAS"
13 1 2 2.7 0.5 "OSCURAS"
13 2 1 2 0.3 "VR"
13 2 2 2.7 0.4 "VR"
13 2 1 2 0.1 "VR"
13 2 2 2.7 0.1 "VR"
13 2 5 6.65 3 "VR"
13 2 3 3.65 2 "VR"
13 2 4 4.9 2.3 "VR"
13 2 2 2.7 0.4 "VR"
13 2 6 9 4 "VR"
