"Subject" "No_visual_info_vol" "No_visual_info_depth" "No_visual_info_width" "No_visual_info_height" "VE_vol" "VE_depth" "VE_width" "VE_height"
1 833 17 7 7 180 12 5 3
2 240 10 8 3 280 10 7 4
3 12 3 2 2 43.3125 4.5 3.5 2.75
4 360 12 10 3 520 13 10 4
5 48 4 4 3 90 6 5 3
6 24 4 3 2 30 6 2 2.5
7 25000 50 50 10 31.25 5 2.5 2.5
8 96 4 4 6 63 6 3.5 3
9 175 5 5 7 180 10 6 3
11 108 6 6 3 105 7 5 3
12 12 2 2 3 72 6 4 3
13 2400 20 20 6 400 20 5 4
14 24 4 2 3 84 8 3.5 3
15 150 6 5 5 300 10 6 5
16 540 15 6 6 450 15 7.5 4
17 75 5 5 3 120 6 5 4
19 61.25 3.5 3.5 5 70 5 4 3.5
20 36 4 3 3 250 10 5 5
