"nsub" "nbloque" "trial" "distancia" "respuesta" "condicion_sala"
1 1 5 6.65 0.7 "No Visual Info"
1 1 6 9 0.9 "No Visual Info"
1 1 2 2.7 0.2 "No Visual Info"
1 1 3 3.65 0.2 "No Visual Info"
1 1 1 2 0.15 "No Visual Info"
1 1 6 9 0.3 "No Visual Info"
1 1 4 4.9 0.5 "No Visual Info"
1 1 1 2 0.15 "No Visual Info"
1 1 2 2.7 0.4 "No Visual Info"
1 1 4 4.9 0.5 "No Visual Info"
1 1 2 2.7 0.5 "No Visual Info"
1 1 1 2 0.3 "No Visual Info"
1 1 3 3.65 0.6 "No Visual Info"
1 1 5 6.65 0.8 "No Visual Info"
1 1 4 4.9 1 "No Visual Info"
1 1 5 6.65 1 "No Visual Info"
1 1 3 3.65 0.8 "No Visual Info"
1 1 6 9 1 "No Visual Info"
1 2 5 6.65 2.5 "Larger VE"
1 2 6 9 1.5 "Larger VE"
1 2 5 6.65 1.5 "Larger VE"
1 2 3 3.65 1 "Larger VE"
1 2 4 4.9 1 "Larger VE"
1 2 6 9 1 "Larger VE"
1 2 4 4.9 1.5 "Larger VE"
1 2 2 2.7 0.5 "Larger VE"
1 2 3 3.65 1 "Larger VE"
1 2 1 2 0.7 "Larger VE"
1 2 1 2 0.7 "Larger VE"
1 2 4 4.9 1 "Larger VE"
1 2 2 2.7 0.7 "Larger VE"
1 2 5 6.65 1.5 "Larger VE"
1 2 2 2.7 1 "Larger VE"
1 2 3 3.65 1 "Larger VE"
1 2 6 9 2 "Larger VE"
1 2 1 2 0.7 "Larger VE"
10 1 2 2.7 1.1 "No Visual Info"
10 1 3 3.65 1.2 "No Visual Info"
10 1 1 2 0.8 "No Visual Info"
10 1 6 9 2 "No Visual Info"
10 1 1 2 1.5 "No Visual Info"
10 1 2 2.7 1.2 "No Visual Info"
10 1 5 6.65 2.1 "No Visual Info"
10 1 3 3.65 2.1 "No Visual Info"
10 1 2 2.7 1.3 "No Visual Info"
10 1 4 4.9 2 "No Visual Info"
10 1 1 2 0.7 "No Visual Info"
10 1 5 6.65 2.5 "No Visual Info"
