"nsub" "nbloque" "trial" "distancia" "respuesta" "condicion_sala"
33 1 5 6.65 10 "SALA_CHICA"
33 1 6 9 12 "SALA_CHICA"
33 1 2 2.7 5 "SALA_CHICA"
33 1 3 3.65 5 "SALA_CHICA"
33 1 1 2 1 "SALA_CHICA"
33 1 6 9 10 "SALA_CHICA"
33 1 4 4.9 7 "SALA_CHICA"
33 1 1 2 3 "SALA_CHICA"
33 1 2 2.7 2 "SALA_CHICA"
33 1 4 4.9 5 "SALA_CHICA"
33 1 2 2.7 2 "SALA_CHICA"
33 1 1 2 1 "SALA_CHICA"
33 1 3 3.65 4 "SALA_CHICA"
33 1 5 6.65 8 "SALA_CHICA"
33 1 4 4.9 6 "SALA_CHICA"
33 1 5 6.65 10 "SALA_CHICA"
33 1 3 3.65 7 "SALA_CHICA"
33 1 6 9 15 "SALA_CHICA"
42 1 2 2.7 0.6 "SALA_GRANDE"
42 1 3 3.65 1.5 "SALA_GRANDE"
42 1 1 2 0.5 "SALA_GRANDE"
42 1 6 9 2 "SALA_GRANDE"
42 1 1 2 0.5 "SALA_GRANDE"
42 1 2 2.7 1 "SALA_GRANDE"
42 1 5 6.65 2.5 "SALA_GRANDE"
42 1 3 3.65 1.5 "SALA_GRANDE"
42 1 2 2.7 0.5 "SALA_GRANDE"
42 1 4 4.9 1 "SALA_GRANDE"
42 1 1 2 0.4 "SALA_GRANDE"
42 1 5 6.65 1.5 "SALA_GRANDE"
42 1 3 3.65 1 "SALA_GRANDE"
42 1 6 9 2 "SALA_GRANDE"
42 1 4 4.9 1.5 "SALA_GRANDE"
42 1 6 9 3 "SALA_GRANDE"
42 1 5 6.65 2.5 "SALA_GRANDE"
42 1 4 4.9 1 "SALA_GRANDE"
43 1 3 3.65 0.5 "SALA_CHICA"
43 1 3 3.65 0.5 "SALA_CHICA"
43 1 6 9 0.8 "SALA_CHICA"
43 1 2 2.7 0.4 "SALA_CHICA"
43 1 5 6.65 0.8 "SALA_CHICA"
43 1 1 2 0.25 "SALA_CHICA"
43 1 2 2.7 0.5 "SALA_CHICA"
43 1 5 6.65 0.7 "SALA_CHICA"
43 1 2 2.7 0.25 "SALA_CHICA"
43 1 1 2 0.15 "SALA_CHICA"
43 1 4 4.9 0.3 "SALA_CHICA"
43 1 5 6.65 0.5 "SALA_CHICA"
43 1 6 9 0.7 "SALA_CHICA"
43 1 1 2 0.1 "SALA_CHICA"
43 1 4 4.9 0.15 "SALA_CHICA"
43 1 4 4.9 0.25 "SALA_CHICA"
43 1 3 3.65 0.25 "SALA_CHICA"
43 1 6 9 0.7 "SALA_CHICA"
44 1 4 4.9 4.5 "SALA_GRANDE"
44 1 4 4.9 3 "SALA_GRANDE"
44 1 3 3.65 3 "SALA_GRANDE"
44 1 6 9 4 "SALA_GRANDE"
44 1 6 9 4.25 "SALA_GRANDE"
44 1 5 6.65 4 "SALA_GRANDE"
44 1 4 4.9 3 "SALA_GRANDE"
44 1 3 3.65 3 "SALA_GRANDE"
44 1 1 2 1 "SALA_GRANDE"
44 1 6 9 3 "SALA_GRANDE"
44 1 5 6.65 4 "SALA_GRANDE"
44 1 2 2.7 3 "SALA_GRANDE"
44 1 3 3.65 2 "SALA_GRANDE"
44 1 2 2.7 1 "SALA_GRANDE"
44 1 1 2 0.5 "SALA_GRANDE"
44 1 2 2.7 1.5 "SALA_GRANDE"
44 1 1 2 0.5 "SALA_GRANDE"
44 1 5 6.65 2 "SALA_GRANDE"
45 1 5 6.65 4.5 "SALA_CHICA"
45 1 6 9 6 "SALA_CHICA"
45 1 4 4.9 3 "SALA_CHICA"
45 1 1 2 2 "SALA_CHICA"
45 1 5 6.65 4 "SALA_CHICA"
45 1 2 2.7 3 "SALA_CHICA"
45 1 6 9 7 "SALA_CHICA"
45 1 3 3.65 4 "SALA_CHICA"
45 1 1 2 3 "SALA_CHICA"
45 1 1 2 2.5 "SALA_CHICA"
45 1 4 4.9 5 "SALA_CHICA"
45 1 5 6.65 7 "SALA_CHICA"
45 1 3 3.65 6 "SALA_CHICA"
45 1 4 4.9 4 "SALA_CHICA"
45 1 2 2.7 2.5 "SALA_CHICA"
45 1 3 3.65 2 "SALA_CHICA"
45 1 6 9 5 "SALA_CHICA"
45 1 2 2.7 2 "SALA_CHICA"
46 1 6 9 2 "SALA_GRANDE"
46 1 5 6.65 2.5 "SALA_GRANDE"
46 1 3 3.65 1 "SALA_GRANDE"
46 1 4 4.9 1.2 "SALA_GRANDE"
46 1 6 9 2.5 "SALA_GRANDE"
46 1 5 6.65 3 "SALA_GRANDE"
46 1 6 9 4 "SALA_GRANDE"
46 1 4 4.9 2 "SALA_GRANDE"
46 1 4 4.9 1 "SALA_GRANDE"
46 1 1 2 0.2 "SALA_GRANDE"
46 1 1 2 0.15 "SALA_GRANDE"
46 1 3 3.65 0.2 "SALA_GRANDE"
46 1 1 2 0.15 "SALA_GRANDE"
46 1 2 2.7 0.25 "SALA_GRANDE"
46 1 3 3.65 0.5 "SALA_GRANDE"
46 1 2 2.7 1 "SALA_GRANDE"
46 1 5 6.65 2 "SALA_GRANDE"
46 1 2 2.7 1 "SALA_GRANDE"
46 1 6 9 2 "SALA_GRANDE"
46 1 5 6.65 2.5 "SALA_GRANDE"
46 1 3 3.65 1 "SALA_GRANDE"
46 1 4 4.9 0.5 "SALA_GRANDE"
46 1 6 9 3 "SALA_GRANDE"
46 1 5 6.65 4 "SALA_GRANDE"
46 1 6 9 5 "SALA_GRANDE"
46 1 4 4.9 3 "SALA_GRANDE"
46 1 4 4.9 1 "SALA_GRANDE"
46 1 1 2 0.2 "SALA_GRANDE"
46 1 1 2 0.1 "SALA_GRANDE"
46 1 3 3.65 0.15 "SALA_GRANDE"
46 1 1 2 0.1 "SALA_GRANDE"
46 1 2 2.7 0.2 "SALA_GRANDE"
46 1 3 3.65 0.4 "SALA_GRANDE"
46 1 2 2.7 0.3 "SALA_GRANDE"
46 1 5 6.65 1 "SALA_GRANDE"
46 1 2 2.7 0.4 "SALA_GRANDE"
47 1 1 2 1 "SALA_CHICA"
47 1 4 4.9 6 "SALA_CHICA"
47 1 2 2.7 5 "SALA_CHICA"
47 1 4 4.9 6 "SALA_CHICA"
47 1 6 9 9 "SALA_CHICA"
47 1 5 6.65 11 "SALA_CHICA"
47 1 5 6.65 12 "SALA_CHICA"
47 1 4 4.9 6 "SALA_CHICA"
47 1 1 2 1 "SALA_CHICA"
47 1 6 9 10 "SALA_CHICA"
47 1 3 3.65 8 "SALA_CHICA"
47 1 6 9 11 "SALA_CHICA"
47 1 2 2.7 3 "SALA_CHICA"
47 1 2 2.7 1 "SALA_CHICA"
47 1 5 6.65 11 "SALA_CHICA"
47 1 1 2 1 "SALA_CHICA"
47 1 3 3.65 6 "SALA_CHICA"
