"nsub" "nbloque" "trial" "distancia" "respuesta" "condicion_sala" "SesgoAbs" "SesgoRel"
1 1 5 6.65 2 "SALA_GRANDE" -4.65 -0.699248120300752
1 1 6 9 2.5 "SALA_GRANDE" -6.5 -0.722222222222222
1 1 2 2.7 2 "SALA_GRANDE" -0.7 -0.259259259259259
1 1 3 3.65 1.8 "SALA_GRANDE" -1.85 -0.506849315068493
1 1 1 2 1.6 "SALA_GRANDE" -0.4 -0.2
1 1 6 9 2.5 "SALA_GRANDE" -6.5 -0.722222222222222
1 1 4 4.9 2.5 "SALA_GRANDE" -2.4 -0.489795918367347
1 1 1 2 1.5 "SALA_GRANDE" -0.5 -0.25
1 1 2 2.7 1.5 "SALA_GRANDE" -1.2 -0.444444444444444
1 1 4 4.9 2 "SALA_GRANDE" -2.9 -0.591836734693878
1 1 2 2.7 1.6 "SALA_GRANDE" -1.1 -0.407407407407407
1 1 1 2 1 "SALA_GRANDE" -1 -0.5
1 1 3 3.65 1.6 "SALA_GRANDE" -2.05 -0.561643835616438
1 1 5 6.65 2 "SALA_GRANDE" -4.65 -0.699248120300752
1 1 4 4.9 2 "SALA_GRANDE" -2.9 -0.591836734693878
1 1 5 6.65 2 "SALA_GRANDE" -4.65 -0.699248120300752
1 1 3 3.65 1.8 "SALA_GRANDE" -1.85 -0.506849315068493
1 1 6 9 2.5 "SALA_GRANDE" -6.5 -0.722222222222222
2 1 6 9 1.3 "SALA_CHICA" -7.7 -0.855555555555556
2 1 6 9 1.3 "SALA_CHICA" -7.7 -0.855555555555556
2 1 3 3.65 0.8 "SALA_CHICA" -2.85 -0.780821917808219
2 1 4 4.9 0.85 "SALA_CHICA" -4.05 -0.826530612244898
2 1 5 6.65 0.8 "SALA_CHICA" -5.85 -0.879699248120301
2 1 2 2.7 0.4 "SALA_CHICA" -2.3 -0.851851851851852
2 1 6 9 0.7 "SALA_CHICA" -8.3 -0.922222222222222
2 1 1 2 0.1 "SALA_CHICA" -1.9 -0.95
2 1 4 4.9 0.1 "SALA_CHICA" -4.8 -0.979591836734694
2 1 2 2.7 0.1 "SALA_CHICA" -2.6 -0.962962962962963
2 1 1 2 0.5 "SALA_CHICA" -1.5 -0.75
2 1 1 2 0.05 "SALA_CHICA" -1.95 -0.975
2 1 3 3.65 0.2 "SALA_CHICA" -3.45 -0.945205479452055
2 1 5 6.65 0.4 "SALA_CHICA" -6.25 -0.93984962406015
2 1 2 2.7 0.3 "SALA_CHICA" -2.4 -0.888888888888889
2 1 3 3.65 0.15 "SALA_CHICA" -3.5 -0.958904109589041
2 1 4 4.9 0.7 "SALA_CHICA" -4.2 -0.857142857142857
2 1 5 6.65 1 "SALA_CHICA" -5.65 -0.849624060150376
3 1 1 2 0.5 "SALA_GRANDE" -1.5 -0.75
3 1 3 3.65 0.7 "SALA_GRANDE" -2.95 -0.808219178082192
3 1 2 2.7 0.7 "SALA_GRANDE" -2 -0.740740740740741
3 1 5 6.65 1 "SALA_GRANDE" -5.65 -0.849624060150376
3 1 3 3.65 0.9 "SALA_GRANDE" -2.75 -0.753424657534247
3 1 4 4.9 1 "SALA_GRANDE" -3.9 -0.795918367346939
3 1 5 6.65 1.1 "SALA_GRANDE" -5.55 -0.834586466165414
3 1 1 2 0.3 "SALA_GRANDE" -1.7 -0.85
3 1 4 4.9 0.5 "SALA_GRANDE" -4.4 -0.897959183673469
3 1 6 9 1.5 "SALA_GRANDE" -7.5 -0.833333333333333
3 1 5 6.65 1 "SALA_GRANDE" -5.65 -0.849624060150376
3 1 6 9 1.1 "SALA_GRANDE" -7.9 -0.877777777777778
3 1 2 2.7 1 "SALA_GRANDE" -1.7 -0.62962962962963
3 1 6 9 1.5 "SALA_GRANDE" -7.5 -0.833333333333333
3 1 2 2.7 0.7 "SALA_GRANDE" -2 -0.740740740740741
3 1 1 2 0.2 "SALA_GRANDE" -1.8 -0.9
3 1 3 3.65 0.4 "SALA_GRANDE" -3.25 -0.89041095890411
3 1 4 4.9 1.1 "SALA_GRANDE" -3.8 -0.775510204081633
4 1 2 2.7 0.05 "SALA_CHICA" -2.65 -0.981481481481482
4 1 2 2.7 5 "SALA_CHICA" 2.3 0.851851851851852
4 1 4 4.9 8 "SALA_CHICA" 3.1 0.63265306122449
4 1 6 9 12 "SALA_CHICA" 3 0.333333333333333
4 1 5 6.65 12 "SALA_CHICA" 5.35 0.804511278195489
4 1 4 4.9 5 "SALA_CHICA" 0.0999999999999996 0.020408163265306
4 1 4 4.9 5 "SALA_CHICA" 0.0999999999999996 0.020408163265306
4 1 6 9 8 "SALA_CHICA" -1 -0.111111111111111
4 1 6 9 5 "SALA_CHICA" -4 -0.444444444444444
4 1 5 6.65 8 "SALA_CHICA" 1.35 0.203007518796992
4 1 1 2 2 "SALA_CHICA" 0 0
