"nsub" "sex" "age" "vision"
1 "M" 41 "No"
2 "M" 22 "Si"
3 "F" 21 "No"
4 "M" 19 "No"
5 "F" 18 "Si"
6 "M" 19 "No"
7 "M" 31 "No"
8 "M" 21 "No"
9 "M" 18 "No"
10 "M" 20 "No"
11 "M" 22 "Si"
12 "F" 21 "No"
13 "F" 28 "No"
14 "F" 18 "No"
15 "M" 25 "No"
16 "M" 19 "No"
17 "M" 21 "No"
18 "M" 20 "Si"
19 "F" 19 "No"
20 "M" 29 "No"
21 "M" 21 "No"
22 "F" 18 "Si"
23 "F" 36 "No"
24 "M" 20 "No"
25 "M" 19 "No"
26 "M" 27 "No"
27 "M" 20 "No"
28 "F" 19 "No"
29 "F" 19 "No"
30 "F" 29 "No"
31 "F" 26 "No"
32 "M" 27 "No"
33 "M" 20 "No"
34 "M" 19 "No"
35 "M" 21 "No"
36 "M" 21 "Si"
37 "F" 25 "No"
38 "F" 23 "No"
39 "F" 18 "Si"
40 "F" 20 "Si"
41 "F" 25 "No"
42 "M" 20 "No"
43 "M" 19 "No"
44 "F" 18 "No"
45 "F" 18 "No"
46 "F" 20 "No"
47 "M" 18 "No"
48 "F" 22 "Si"
49 "F" 23 "No"
50 "M" 25 "No"
