"nsub" "nbloque" "itrial" "distancia" "respuesta" "condicion_sala"
1 1 2 2.7 0.2 "SALA_GRANDE"
1 1 5 6.65 1.4 "SALA_GRANDE"
1 1 3 3.65 1.4 "SALA_GRANDE"
1 1 6 9 2 "SALA_GRANDE"
1 1 1 2 0.5 "SALA_GRANDE"
1 1 3 3.65 0.9 "SALA_GRANDE"
1 1 6 9 1.5 "SALA_GRANDE"
1 1 2 2.7 0.001 "SALA_GRANDE"
1 1 4 4.9 1 "SALA_GRANDE"
1 1 1 2 0.5 "SALA_GRANDE"
1 1 5 6.65 2 "SALA_GRANDE"
1 1 5 6.65 3 "SALA_GRANDE"
1 1 3 3.65 1.4 "SALA_GRANDE"
1 1 2 2.7 0.5 "SALA_GRANDE"
1 1 1 2 0.3 "SALA_GRANDE"
1 1 6 9 2.5 "SALA_GRANDE"
1 1 4 4.9 2.5 "SALA_GRANDE"
1 1 4 4.9 1.25 "SALA_GRANDE"
2 1 3 3.65 2 "SALA_GRANDE"
2 1 3 3.65 0.5 "SALA_GRANDE"
2 1 5 6.65 2 "SALA_GRANDE"
2 1 6 9 2.5 "SALA_GRANDE"
2 1 3 3.65 1 "SALA_GRANDE"
2 1 4 4.9 1 "SALA_GRANDE"
2 1 1 2 0.7 "SALA_GRANDE"
2 1 2 2.7 1 "SALA_GRANDE"
2 1 1 2 0.5 "SALA_GRANDE"
2 1 4 4.9 1 "SALA_GRANDE"
2 1 5 6.65 1.5 "SALA_GRANDE"
2 1 6 9 2 "SALA_GRANDE"
2 1 5 6.65 2 "SALA_GRANDE"
2 1 4 4.9 1 "SALA_GRANDE"
2 1 2 2.7 0.9 "SALA_GRANDE"
2 1 2 2.7 0.5 "SALA_GRANDE"
2 1 6 9 2 "SALA_GRANDE"
2 1 1 2 0.5 "SALA_GRANDE"
3 1 4 4.9 1 "SALA_GRANDE"
3 1 6 9 1.2 "SALA_GRANDE"
3 1 1 2 0.2 "SALA_GRANDE"
3 1 5 6.65 0.6 "SALA_GRANDE"
3 1 6 9 1.3 "SALA_GRANDE"
3 1 3 3.65 0.4 "SALA_GRANDE"
3 1 2 2.7 0.4 "SALA_GRANDE"
3 1 5 6.65 1 "SALA_GRANDE"
3 1 6 9 1.5 "SALA_GRANDE"
3 1 2 2.7 1 "SALA_GRANDE"
3 1 3 3.65 1 "SALA_GRANDE"
3 1 4 4.9 2 "SALA_GRANDE"
3 1 3 3.65 2 "SALA_GRANDE"
3 1 1 2 1 "SALA_GRANDE"
3 1 1 2 0.4 "SALA_GRANDE"
3 1 4 4.9 2 "SALA_GRANDE"
3 1 5 6.65 3 "SALA_GRANDE"
