"nsub" "nbloque" "trial" "distancia" "respuesta" "condicion_sala"
11 1 3 3.65 0.1 "OSCURAS"
11 1 3 3.65 1 "OSCURAS"
11 1 6 9 2.5 "OSCURAS"
11 1 2 2.7 1.5 "OSCURAS"
11 1 5 6.65 3 "OSCURAS"
11 1 1 2 0.5 "OSCURAS"
11 1 2 2.7 0.5 "OSCURAS"
11 1 5 6.65 1.5 "OSCURAS"
11 1 2 2.7 0.5 "OSCURAS"
11 1 1 2 0.2 "OSCURAS"
11 1 4 4.9 0.1 "OSCURAS"
11 1 5 6.65 1 "OSCURAS"
11 1 6 9 2 "OSCURAS"
11 1 1 2 0.25 "OSCURAS"
11 1 4 4.9 0.4 "OSCURAS"
11 1 4 4.9 0.5 "OSCURAS"
11 1 3 3.65 0.5 "OSCURAS"
11 1 6 9 1.5 "OSCURAS"
11 2 4 4.9 2.5 "VISUAL"
11 2 5 6.65 3 "VISUAL"
11 2 1 2 1 "VISUAL"
11 2 2 2.7 2 "VISUAL"
11 2 3 3.65 2 "VISUAL"
11 2 6 9 3 "VISUAL"
11 2 3 3.65 2.5 "VISUAL"
11 2 2 2.7 2.5 "VISUAL"
11 2 1 2 1 "VISUAL"
11 2 6 9 3 "VISUAL"
11 2 3 3.65 1.5 "VISUAL"
11 2 4 4.9 2 "VISUAL"
11 2 2 2.7 1 "VISUAL"
11 2 4 4.9 2 "VISUAL"
11 2 1 2 1.5 "VISUAL"
11 2 6 9 3 "VISUAL"
11 2 5 6.65 4 "VISUAL"
11 2 5 6.65 3 "VISUAL"
12 1 4 4.9 0.7 "OSCURAS"
12 1 4 4.9 1 "OSCURAS"
12 1 3 3.65 1.5 "OSCURAS"
12 1 6 9 3 "OSCURAS"
12 1 6 9 3 "OSCURAS"
12 1 5 6.65 1 "OSCURAS"
12 1 4 4.9 1 "OSCURAS"
12 1 3 3.65 1.3 "OSCURAS"
12 1 1 2 0.8 "OSCURAS"
12 1 6 9 2 "OSCURAS"
12 1 5 6.65 1.5 "OSCURAS"
12 1 2 2.7 1.8 "OSCURAS"
12 1 3 3.65 1.9 "OSCURAS"
12 1 2 2.7 1.5 "OSCURAS"
12 1 1 2 0.6 "OSCURAS"
12 1 2 2.7 0.8 "OSCURAS"
12 1 1 2 1 "OSCURAS"
12 1 5 6.65 3 "OSCURAS"
12 2 5 6.65 3 "VISUAL"
12 2 6 9 2 "VISUAL"
12 2 1 2 1 "VISUAL"
12 2 6 9 5 "VISUAL"
12 2 2 2.7 1 "VISUAL"
12 2 5 6.65 3 "VISUAL"
12 2 6 9 6 "VISUAL"
12 2 4 4.9 2 "VISUAL"
12 2 3 3.65 1.5 "VISUAL"
12 2 5 6.65 2 "VISUAL"
12 2 2 2.7 1 "VISUAL"
12 2 4 4.9 1.5 "VISUAL"
12 2 3 3.65 2 "VISUAL"
12 2 3 3.65 3 "VISUAL"
12 2 1 2 1 "VISUAL"
12 2 4 4.9 2 "VISUAL"
12 2 1 2 1 "VISUAL"
12 2 2 2.7 1.5 "VISUAL"
13 1 5 6.65 1.5 "OSCURAS"
13 1 6 9 2.2 "OSCURAS"
13 1 4 4.9 1.6 "OSCURAS"
13 1 1 2 1 "OSCURAS"
13 1 5 6.65 1.4 "OSCURAS"
13 1 2 2.7 1.2 "OSCURAS"
13 1 6 9 2 "OSCURAS"
13 1 3 3.65 1.5 "OSCURAS"
13 1 1 2 1 "OSCURAS"
13 1 1 2 0.7 "OSCURAS"
13 1 4 4.9 1.2 "OSCURAS"
13 1 5 6.65 1.8 "OSCURAS"
13 1 3 3.65 1.4 "OSCURAS"
13 1 4 4.9 1.5 "OSCURAS"
13 1 2 2.7 1.5 "OSCURAS"
13 1 3 3.65 1.3 "OSCURAS"
13 1 6 9 2 "OSCURAS"
13 1 2 2.7 1.6 "OSCURAS"
13 2 1 2 1.1 "VISUAL"
13 2 2 2.7 1.25 "VISUAL"
13 2 1 2 1.25 "VISUAL"
13 2 2 2.7 1.7 "VISUAL"
13 2 5 6.65 2.1 "VISUAL"
13 2 3 3.65 2.1 "VISUAL"
13 2 4 4.9 2 "VISUAL"
13 2 2 2.7 1.25 "VISUAL"
