"nsub" "nbloque" "trial" "distancia" "respuesta" "condicion_sala"
22 1 2 2.7 0.2 "SALA_GRANDE"
22 1 5 6.65 1.4 "SALA_GRANDE"
22 1 3 3.65 1.4 "SALA_GRANDE"
22 1 6 9 2 "SALA_GRANDE"
22 1 1 2 0.5 "SALA_GRANDE"
22 1 3 3.65 0.9 "SALA_GRANDE"
22 1 6 9 1.5 "SALA_GRANDE"
22 1 2 2.7 0.001 "SALA_GRANDE"
22 1 4 4.9 1 "SALA_GRANDE"
22 1 1 2 0.5 "SALA_GRANDE"
22 1 5 6.65 2 "SALA_GRANDE"
22 1 5 6.65 3 "SALA_GRANDE"
22 1 3 3.65 1.4 "SALA_GRANDE"
22 1 2 2.7 0.5 "SALA_GRANDE"
22 1 1 2 0.3 "SALA_GRANDE"
22 1 6 9 2.5 "SALA_GRANDE"
22 1 4 4.9 2.5 "SALA_GRANDE"
22 1 4 4.9 1.25 "SALA_GRANDE"
23 1 3 3.65 2 "SALA_GRANDE"
23 1 3 3.65 0.5 "SALA_GRANDE"
23 1 5 6.65 2 "SALA_GRANDE"
23 1 6 9 2.5 "SALA_GRANDE"
23 1 3 3.65 1 "SALA_GRANDE"
23 1 4 4.9 1 "SALA_GRANDE"
23 1 1 2 0.7 "SALA_GRANDE"
23 1 2 2.7 1 "SALA_GRANDE"
23 1 1 2 0.5 "SALA_GRANDE"
23 1 4 4.9 1 "SALA_GRANDE"
23 1 5 6.65 1.5 "SALA_GRANDE"
23 1 6 9 2 "SALA_GRANDE"
23 1 5 6.65 2 "SALA_GRANDE"
23 1 4 4.9 1 "SALA_GRANDE"
23 1 2 2.7 0.9 "SALA_GRANDE"
23 1 2 2.7 0.5 "SALA_GRANDE"
23 1 6 9 2 "SALA_GRANDE"
23 1 1 2 0.5 "SALA_GRANDE"
24 1 4 4.9 1 "SALA_GRANDE"
24 1 6 9 1.2 "SALA_GRANDE"
24 1 1 2 0.2 "SALA_GRANDE"
24 1 5 6.65 0.6 "SALA_GRANDE"
24 1 6 9 1.3 "SALA_GRANDE"
24 1 3 3.65 0.4 "SALA_GRANDE"
24 1 2 2.7 0.4 "SALA_GRANDE"
24 1 5 6.65 1 "SALA_GRANDE"
24 1 6 9 1.5 "SALA_GRANDE"
24 1 2 2.7 1 "SALA_GRANDE"
24 1 3 3.65 1 "SALA_GRANDE"
24 1 4 4.9 2 "SALA_GRANDE"
24 1 3 3.65 2 "SALA_GRANDE"
24 1 1 2 1 "SALA_GRANDE"
24 1 1 2 0.4 "SALA_GRANDE"
24 1 4 4.9 2 "SALA_GRANDE"
24 1 5 6.65 3 "SALA_GRANDE"
24 1 2 2.7 2 "SALA_GRANDE"
25 1 5 6.65 2 "SALA_GRANDE"
25 1 5 6.65 3 "SALA_GRANDE"
25 1 1 2 0.5 "SALA_GRANDE"
25 1 3 3.65 0.5 "SALA_GRANDE"
25 1 4 4.9 1.5 "SALA_GRANDE"
25 1 5 6.65 3 "SALA_GRANDE"
25 1 2 2.7 1 "SALA_GRANDE"
25 1 1 2 0.5 "SALA_GRANDE"
25 1 3 3.65 1 "SALA_GRANDE"
25 1 6 9 2 "SALA_GRANDE"
25 1 4 4.9 0.5 "SALA_GRANDE"
25 1 6 9 2 "SALA_GRANDE"
25 1 1 2 0.5 "SALA_GRANDE"
25 1 3 3.65 1 "SALA_GRANDE"
25 1 2 2.7 0.5 "SALA_GRANDE"
25 1 4 4.9 1.5 "SALA_GRANDE"
25 1 6 9 3 "SALA_GRANDE"
25 1 2 2.7 0.5 "SALA_GRANDE"
26 1 6 9 2 "SALA_GRANDE"
26 1 1 2 1 "SALA_GRANDE"
26 1 4 4.9 1.5 "SALA_GRANDE"
26 1 6 9 2 "SALA_GRANDE"
26 1 4 4.9 1 "SALA_GRANDE"
26 1 2 2.7 0.5 "SALA_GRANDE"
26 1 4 4.9 1.5 "SALA_GRANDE"
26 1 3 3.65 1.5 "SALA_GRANDE"
26 1 2 2.7 0.5 "SALA_GRANDE"
26 1 1 2 0.5 "SALA_GRANDE"
26 1 2 2.7 0.5 "SALA_GRANDE"
26 1 5 6.65 1.5 "SALA_GRANDE"
26 1 3 3.65 1 "SALA_GRANDE"
26 1 5 6.65 2 "SALA_GRANDE"
26 1 1 2 0.5 "SALA_GRANDE"
26 1 3 3.65 1 "SALA_GRANDE"
26 1 5 6.65 1.5 "SALA_GRANDE"
26 1 6 9 2 "SALA_GRANDE"
