"nsub" "nbloque" "trial" "distancia" "respuesta" "condicion_sala"
27 1 1 2 1 "SALA_MAS_CHICA"
27 1 4 4.9 3 "SALA_MAS_CHICA"
27 1 4 4.9 3 "SALA_MAS_CHICA"
27 1 6 9 6 "SALA_MAS_CHICA"
27 1 2 2.7 1 "SALA_MAS_CHICA"
27 1 5 6.65 3 "SALA_MAS_CHICA"
27 1 5 6.65 3 "SALA_MAS_CHICA"
27 1 1 2 0.5 "SALA_MAS_CHICA"
27 1 3 3.65 3 "SALA_MAS_CHICA"
27 1 2 2.7 2 "SALA_MAS_CHICA"
27 1 2 2.7 1 "SALA_MAS_CHICA"
27 1 3 3.65 3 "SALA_MAS_CHICA"
27 1 6 9 5 "SALA_MAS_CHICA"
27 1 1 2 0.5 "SALA_MAS_CHICA"
27 1 5 6.65 4 "SALA_MAS_CHICA"
27 1 4 4.9 3 "SALA_MAS_CHICA"
27 1 3 3.65 2 "SALA_MAS_CHICA"
27 1 6 9 4 "SALA_MAS_CHICA"
28 1 2 2.7 0.5 "SALA_MAS_CHICA"
28 1 4 4.9 1 "SALA_MAS_CHICA"
28 1 5 6.65 1.5 "SALA_MAS_CHICA"
28 1 3 3.65 1 "SALA_MAS_CHICA"
28 1 6 9 2 "SALA_MAS_CHICA"
28 1 1 2 0.3 "SALA_MAS_CHICA"
28 1 6 9 1.5 "SALA_MAS_CHICA"
28 1 1 2 0.3 "SALA_MAS_CHICA"
28 1 2 2.7 0.5 "SALA_MAS_CHICA"
28 1 5 6.65 1.6 "SALA_MAS_CHICA"
28 1 5 6.65 1 "SALA_MAS_CHICA"
28 1 2 2.7 0.5 "SALA_MAS_CHICA"
28 1 1 2 0.3 "SALA_MAS_CHICA"
28 1 4 4.9 0.5 "SALA_MAS_CHICA"
28 1 6 9 2 "SALA_MAS_CHICA"
28 1 3 3.65 0.3 "SALA_MAS_CHICA"
28 1 4 4.9 0.2 "SALA_MAS_CHICA"
28 1 3 3.65 0.3 "SALA_MAS_CHICA"
29 1 3 3.65 0.8 "SALA_MAS_CHICA"
29 1 6 9 1 "SALA_MAS_CHICA"
29 1 3 3.65 0.9 "SALA_MAS_CHICA"
29 1 5 6.65 1 "SALA_MAS_CHICA"
29 1 4 4.9 0.8 "SALA_MAS_CHICA"
29 1 4 4.9 0.8 "SALA_MAS_CHICA"
29 1 5 6.65 0.83 "SALA_MAS_CHICA"
29 1 1 2 0.3 "SALA_MAS_CHICA"
29 1 5 6.65 0.4 "SALA_MAS_CHICA"
29 1 2 2.7 0.2 "SALA_MAS_CHICA"
29 1 6 9 0.85 "SALA_MAS_CHICA"
29 1 1 2 0.2 "SALA_MAS_CHICA"
29 1 1 2 0.2 "SALA_MAS_CHICA"
29 1 4 4.9 0.47 "SALA_MAS_CHICA"
29 1 6 9 0.9 "SALA_MAS_CHICA"
29 1 2 2.7 0.3 "SALA_MAS_CHICA"
29 1 3 3.65 0.3 "SALA_MAS_CHICA"
29 1 2 2.7 0.3 "SALA_MAS_CHICA"
30 1 4 4.9 2 "SALA_MAS_CHICA"
30 1 5 6.65 5 "SALA_MAS_CHICA"
30 1 4 4.9 4 "SALA_MAS_CHICA"
30 1 1 2 1 "SALA_MAS_CHICA"
30 1 1 2 0.3 "SALA_MAS_CHICA"
30 1 2 2.7 0.3 "SALA_MAS_CHICA"
30 1 4 4.9 5 "SALA_MAS_CHICA"
30 1 2 2.7 2 "SALA_MAS_CHICA"
30 1 6 9 10 "SALA_MAS_CHICA"
30 1 6 9 15 "SALA_MAS_CHICA"
30 1 5 6.65 10 "SALA_MAS_CHICA"
30 1 2 2.7 1 "SALA_MAS_CHICA"
30 1 3 3.65 1 "SALA_MAS_CHICA"
30 1 1 2 0.3 "SALA_MAS_CHICA"
30 1 3 3.65 0.3 "SALA_MAS_CHICA"
30 1 6 9 10 "SALA_MAS_CHICA"
30 1 5 6.65 10 "SALA_MAS_CHICA"
30 1 3 3.65 2 "SALA_MAS_CHICA"
31 1 5 6.65 3 "SALA_MAS_CHICA"
31 1 2 2.7 1 "SALA_MAS_CHICA"
31 1 4 4.9 3 "SALA_MAS_CHICA"
31 1 5 6.65 5 "SALA_MAS_CHICA"
31 1 3 3.65 2 "SALA_MAS_CHICA"
31 1 1 2 1 "SALA_MAS_CHICA"
31 1 3 3.65 2 "SALA_MAS_CHICA"
31 1 6 9 7 "SALA_MAS_CHICA"
31 1 4 4.9 3 "SALA_MAS_CHICA"
31 1 4 4.9 3 "SALA_MAS_CHICA"
31 1 2 2.7 2 "SALA_MAS_CHICA"
31 1 6 9 7 "SALA_MAS_CHICA"
31 1 6 9 10 "SALA_MAS_CHICA"
31 1 3 3.65 4 "SALA_MAS_CHICA"
31 1 5 6.65 7 "SALA_MAS_CHICA"
31 1 1 2 1 "SALA_MAS_CHICA"
31 1 1 2 0.5 "SALA_MAS_CHICA"
31 1 2 2.7 2 "SALA_MAS_CHICA"
32 1 6 9 3 "SALA_MAS_CHICA"
32 1 1 2 1.5 "SALA_MAS_CHICA"
32 1 1 2 1.5 "SALA_MAS_CHICA"
32 1 3 3.65 2 "SALA_MAS_CHICA"
32 1 2 2.7 2 "SALA_MAS_CHICA"
32 1 1 2 1.5 "SALA_MAS_CHICA"
32 1 6 9 3 "SALA_MAS_CHICA"
32 1 4 4.9 3 "SALA_MAS_CHICA"
32 1 5 6.65 4 "SALA_MAS_CHICA"
32 1 4 4.9 3 "SALA_MAS_CHICA"
32 1 5 6.65 4 "SALA_MAS_CHICA"
32 1 2 2.7 1.5 "SALA_MAS_CHICA"
32 1 3 3.65 2 "SALA_MAS_CHICA"
32 1 6 9 4 "SALA_MAS_CHICA"
32 1 2 2.7 1.5 "SALA_MAS_CHICA"
32 1 3 3.65 2 "SALA_MAS_CHICA"
32 1 5 6.65 4 "SALA_MAS_CHICA"
32 1 4 4.9 3 "SALA_MAS_CHICA"
33 1 1 2 0.3 "SALA_MAS_CHICA"
33 1 4 4.9 0.35 "SALA_MAS_CHICA"
33 1 1 2 0.15 "SALA_MAS_CHICA"
33 1 6 9 1 "SALA_MAS_CHICA"
33 1 4 4.9 0.7 "SALA_MAS_CHICA"
33 1 5 6.65 0.9 "SALA_MAS_CHICA"
33 1 2 2.7 0.25 "SALA_MAS_CHICA"
33 1 1 2 0.1 "SALA_MAS_CHICA"
33 1 2 2.7 0.4 "SALA_MAS_CHICA"
33 1 3 3.65 0.5 "SALA_MAS_CHICA"
33 1 4 4.9 0.5 "SALA_MAS_CHICA"
33 1 6 9 1 "SALA_MAS_CHICA"
33 1 3 3.65 0.4 "SALA_MAS_CHICA"
33 1 6 9 1.3 "SALA_MAS_CHICA"
33 1 2 2.7 0.3 "SALA_MAS_CHICA"
33 1 5 6.65 2 "SALA_MAS_CHICA"
33 1 5 6.65 2.1 "SALA_MAS_CHICA"
33 1 3 3.65 0.7 "SALA_MAS_CHICA"
34 1 2 2.7 1 "SALA_MAS_CHICA"
34 1 2 2.7 1 "SALA_MAS_CHICA"
34 1 2 2.7 1 "SALA_MAS_CHICA"
34 1 5 6.65 4 "SALA_MAS_CHICA"
34 1 6 9 4 "SALA_MAS_CHICA"
34 1 5 6.65 4 "SALA_MAS_CHICA"
34 1 5 6.65 4 "SALA_MAS_CHICA"
34 1 1 2 1 "SALA_MAS_CHICA"
34 1 4 4.9 3 "SALA_MAS_CHICA"
34 1 3 3.65 1 "SALA_MAS_CHICA"
34 1 4 4.9 3 "SALA_MAS_CHICA"
34 1 6 9 4 "SALA_MAS_CHICA"
34 1 3 3.65 1 "SALA_MAS_CHICA"
34 1 1 2 0.7 "SALA_MAS_CHICA"
34 1 3 3.65 1 "SALA_MAS_CHICA"
34 1 4 4.9 3 "SALA_MAS_CHICA"
34 1 6 9 4 "SALA_MAS_CHICA"
34 1 1 2 0.7 "SALA_MAS_CHICA"
