"","Subject","Condition","Dimension","Value","Experiment"
"1",1,"Congruent VE","Depth",10,1
"2",1,"Congruent VE","Width",5,1
"3",1,"Congruent VE","Height",2.8,1
"4",3,"Congruent VE","Depth",10,1
"5",3,"Congruent VE","Width",5,1
"6",3,"Congruent VE","Height",4,1
"7",5,"Congruent VE","Depth",15,1
"8",5,"Congruent VE","Height",4,1
"9",7,"Congruent VE","Depth",7,1
"10",7,"Congruent VE","Width",4,1
"11",7,"Congruent VE","Height",3,1
"12",9,"Congruent VE","Depth",8,1
"13",9,"Congruent VE","Width",7,1
"14",9,"Congruent VE","Height",5,1
"15",11,"Congruent VE","Depth",8,1
"16",11,"Congruent VE","Width",5,1
"17",11,"Congruent VE","Height",3.5,1
"18",12,"Congruent VE","Depth",10,1
"19",12,"Congruent VE","Height",2.5,1
"20",14,"Congruent VE","Depth",6,1
"21",14,"Congruent VE","Width",4,1
"22",14,"Congruent VE","Height",2.5,1
"23",16,"Congruent VE","Depth",7,1
"24",16,"Congruent VE","Width",4.5,1
"25",16,"Congruent VE","Height",2.5,1
"26",18,"Congruent VE","Depth",15,1
"27",18,"Congruent VE","Height",5,1
"28",20,"Congruent VE","Depth",8,1
"29",24,"Congruent VE","Depth",4,1
"30",24,"Congruent VE","Width",3,1
"31",24,"Congruent VE","Height",2.5,1
"32",26,"Congruent VE","Depth",4.5,1
"33",26,"Congruent VE","Width",3,1
"34",26,"Congruent VE","Height",2.5,1
"35",30,"Congruent VE","Depth",4,1
"36",30,"Congruent VE","Width",3.5,1
"37",30,"Congruent VE","Height",3.5,1
"38",32,"Congruent VE","Depth",10,1
"39",32,"Congruent VE","Width",6,1
"40",32,"Congruent VE","Height",3,1
"41",34,"Congruent VE","Depth",10,1
"42",34,"Congruent VE","Width",6,1
"43",34,"Congruent VE","Height",3,1
"44",36,"Congruent VE","Height",5,1
"45",38,"Congruent VE","Depth",2,1
"46",38,"Congruent VE","Width",3,1
"47",38,"Congruent VE","Height",2,1
"48",40,"Congruent VE","Depth",9,1
"49",40,"Congruent VE","Width",6,1
"50",40,"Congruent VE","Height",3,1
"51",42,"Congruent VE","Depth",4,1
"52",42,"Congruent VE","Width",2,1
"53",42,"Congruent VE","Height",2.5,1
"54",44,"Congruent VE","Depth",10,1
"55",44,"Congruent VE","Height",5,1
"56",46,"Congruent VE","Depth",6,1
"57",46,"Congruent VE","Width",4,1
"58",46,"Congruent VE","Height",3.5,1
"59",48,"Congruent VE","Depth",3,1
"60",48,"Congruent VE","Width",4.5,1
"61",48,"Congruent VE","Height",2,1
"62",50,"Congruent VE","Depth",6,1
"63",50,"Congruent VE","Width",3,1
"64",50,"Congruent VE","Height",3,1
"65",2,"Small VE","Depth",8,1
"66",2,"Small VE","Width",6,1
"67",2,"Small VE","Height",4.5,1
"68",4,"Small VE","Depth",15,1
"69",4,"Small VE","Height",5,1
"70",6,"Small VE","Depth",5,1
"71",6,"Small VE","Width",2,1
"72",6,"Small VE","Height",3,1
"73",8,"Small VE","Depth",7,1
"74",8,"Small VE","Width",7,1
"75",8,"Small VE","Height",4.3,1
"76",10,"Small VE","Depth",8,1
"77",10,"Small VE","Height",5,1
"78",13,"Small VE","Depth",6,1
"79",13,"Small VE","Width",5,1
"80",13,"Small VE","Height",4,1
"81",15,"Small VE","Depth",3,1
"82",15,"Small VE","Width",5,1
"83",15,"Small VE","Height",4,1
"84",17,"Small VE","Depth",2,1
"85",17,"Small VE","Width",3,1
"86",17,"Small VE","Height",2.1,1
"87",19,"Small VE","Depth",7,1
"88",19,"Small VE","Width",5,1
"89",19,"Small VE","Height",2.5,1
"90",21,"Small VE","Depth",3,1
"91",21,"Small VE","Width",3,1
"92",21,"Small VE","Height",2.3,1
"93",23,"Small VE","Depth",10,1
"94",23,"Small VE","Width",8.5,1
"95",23,"Small VE","Height",3,1
"96",25,"Small VE","Depth",6,1
"97",25,"Small VE","Width",4,1
"98",25,"Small VE","Height",4,1
"99",27,"Small VE","Depth",7,1
"100",27,"Small VE","Width",5,1
"101",27,"Small VE","Height",2.8,1
"102",29,"Small VE","Depth",8,1
"103",29,"Small VE","Width",4,1
"104",29,"Small VE","Height",3,1
"105",31,"Small VE","Depth",8,1
"106",31,"Small VE","Width",6,1
"107",31,"Small VE","Height",4,1
"108",33,"Small VE","Depth",5,1
"109",33,"Small VE","Width",4,1
"110",33,"Small VE","Height",3,1
"111",35,"Small VE","Depth",5,1
"112",35,"Small VE","Width",3.5,1
"113",35,"Small VE","Height",4,1
"114",37,"Small VE","Depth",5,1
"115",37,"Small VE","Width",7,1
"116",37,"Small VE","Height",2.5,1
"117",39,"Small VE","Depth",9,1
"118",39,"Small VE","Width",6,1
"119",39,"Small VE","Height",2.5,1
"120",41,"Small VE","Depth",2,1
"121",41,"Small VE","Width",3,1
"122",41,"Small VE","Height",2.5,1
"123",43,"Small VE","Depth",2,1
"124",43,"Small VE","Width",1,1
"125",43,"Small VE","Height",1,1
"126",45,"Small VE","Depth",15,1
"127",47,"Small VE","Depth",6,1
"128",47,"Small VE","Height",5,1
"129",49,"Small VE","Depth",2,1
"130",49,"Small VE","Width",2.5,1
"131",49,"Small VE","Height",1.5,1
"132",3,"No visual info","Depth",4,2
"133",3,"Visual info","Depth",7,2
"134",4,"No visual info","Depth",4,2
"135",4,"Visual info","Depth",10,2
"136",5,"No visual info","Depth",6,2
"137",5,"Visual info","Depth",15,2
"138",6,"No visual info","Depth",5,2
"139",6,"Visual info","Depth",9,2
"140",7,"No visual info","Depth",5,2
"141",7,"Visual info","Depth",8,2
"142",8,"No visual info","Depth",3,2
"143",8,"Visual info","Depth",6,2
"144",9,"No visual info","Depth",6,2
"145",9,"Visual info","Depth",12,2
"146",10,"No visual info","Depth",10,2
"147",11,"No visual info","Depth",8,2
"148",11,"Visual info","Depth",6,2
"149",12,"No visual info","Depth",3,2
"150",12,"Visual info","Depth",8,2
"151",13,"No visual info","Depth",3,2
"152",13,"Visual info","Depth",6,2
"153",14,"No visual info","Depth",6,2
"154",14,"Visual info","Depth",10,2
"155",15,"No visual info","Depth",10,2
"156",15,"Visual info","Depth",8,2
"157",17,"No visual info","Depth",10,2
"158",18,"No visual info","Depth",6,2
"159",18,"Visual info","Depth",10,2
"160",19,"No visual info","Depth",4,2
"161",19,"Visual info","Depth",5,2
"162",20,"No visual info","Depth",5,2
"163",20,"Visual info","Depth",8.5,2
"164",1,"Visual info","Width",3,2
