subject,room_condition,target_distance,block,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n
2,Coincident VE,2,1,0.24664414311581237,0.14240006242195885,0.06083333333333333,3,0.21666666666666667,0.12332207155790617,0.07120003121097943,0.015208333333333329,3,-0.8916666666666666,0.12332207155790617,0.07120003121097943,0.015208333333333329,3,0.8916666666666666,0.24664414311581234,0.14240006242195885,0.060833333333333316,3
4,Coincident VE,2,1,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,1.3333333333333333,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,-0.3333333333333333,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.3333333333333333,0.5773502691896257,0.3333333333333333,0.3333333333333333,3
6,Coincident VE,2,1,0,0,0,3,0.5,0,0,0,3,-0.75,0,0,0,3,0.75,0,0,0,3
8,Coincident VE,2,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,1.3333333333333333,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,-0.3333333333333333,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.3333333333333333,0.28867513459481287,0.16666666666666666,0.08333333333333333,3
10,Coincident VE,2,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,1.1666666666666667,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,-0.4166666666666667,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.4166666666666667,0.28867513459481287,0.16666666666666666,0.08333333333333333,3
13,Coincident VE,2,1,0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3
15,Coincident VE,2,1,0.15275252316519466,0.08819171036881969,0.02333333333333333,3,0.3666666666666667,0.07637626158259735,0.04409585518440985,0.0058333333333333345,3,-0.8166666666666667,0.07637626158259735,0.04409585518440985,0.0058333333333333345,3,0.8166666666666667,0.1527525231651947,0.0881917103688197,0.023333333333333338,3
17,Coincident VE,2,1,0,0,0,3,0.25,0,0,0,3,-0.875,0,0,0,3,0.875,0,0,0,3
19,Coincident VE,2,1,0.11547005383792516,0.06666666666666668,0.013333333333333334,3,0.26666666666666666,0.05773502691896256,0.033333333333333326,0.003333333333333332,3,-0.8666666666666667,0.05773502691896256,0.033333333333333326,0.003333333333333332,3,0.8666666666666667,0.11547005383792512,0.06666666666666665,0.013333333333333327,3
23,Coincident VE,2,1,0,0,0,3,0.5,0,0,0,3,-0.75,0,0,0,3,0.75,0,0,0,3
25,Coincident VE,2,1,0.47696960070847283,0.2753785273643051,0.2275,3,0.45,0.23848480035423644,0.13768926368215256,0.05687500000000001,3,-0.775,0.23848480035423644,0.13768926368215256,0.05687500000000001,3,0.775,0.4769696007084729,0.2753785273643051,0.22750000000000004,3
27,Coincident VE,2,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,1.3333333333333333,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,-0.3333333333333333,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.3333333333333333,0.28867513459481287,0.16666666666666666,0.08333333333333333,3
29,Coincident VE,2,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.6666666666666666,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,-0.6666666666666666,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.6666666666666666,0.28867513459481287,0.16666666666666666,0.08333333333333333,3
31,Coincident VE,2,1,0.11547005383792514,0.06666666666666667,0.01333333333333333,3,0.16666666666666666,0.05773502691896256,0.033333333333333326,0.003333333333333332,3,-0.9166666666666666,0.05773502691896256,0.033333333333333326,0.003333333333333332,3,0.9166666666666666,0.11547005383792512,0.06666666666666665,0.013333333333333327,3
33,Coincident VE,2,1,1.1547005383792515,0.6666666666666666,1.3333333333333333,3,1.6666666666666667,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,-0.16666666666666666,0,0,0,3,0.5,0,0,0,3
35,Coincident VE,2,1,0.13228756555322954,0.07637626158259735,0.0175,3,0.35,0.06614378277661476,0.038188130791298666,0.0043749999999999995,3,-0.825,0.06614378277661476,0.038188130791298666,0.0043749999999999995,3,0.825,0.1322875655532295,0.07637626158259733,0.017499999999999998,3
37,Coincident VE,2,1,1,0.5773502691896258,1,3,2,0.5,0.2886751345948129,0.25,3,0,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.3333333333333333,0.5773502691896257,0.3333333333333333,0.3333333333333333,3
39,Coincident VE,2,1,0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3
41,Coincident VE,2,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.8333333333333334,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,-0.5833333333333334,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.5833333333333334,0.28867513459481287,0.16666666666666666,0.08333333333333333,3
43,Coincident VE,2,1,0.07637626158259733,0.044095855184409845,0.005833333333333333,3,0.16666666666666666,0.03818813079129865,0.022047927592204915,0.0014583333333333323,3,-0.9166666666666666,0.03818813079129865,0.022047927592204915,0.0014583333333333323,3,0.9166666666666666,0.0763762615825973,0.04409585518440983,0.005833333333333329,3
47,Coincident VE,2,1,0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3
49,Coincident VE,2,1,0.05773502691896256,0.033333333333333326,0.003333333333333332,3,0.43333333333333335,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,-0.7833333333333333,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,0.7833333333333333,0.05773502691896263,0.03333333333333337,0.003333333333333339,3
1,Smaller VE,2,1,0.3214550253664319,0.18559214542766744,0.10333333333333336,3,1.3666666666666667,0.16072751268321595,0.09279607271383372,0.02583333333333334,3,-0.31666666666666665,0.16072751268321595,0.09279607271383372,0.02583333333333334,3,0.31666666666666665,0.3214550253664319,0.18559214542766744,0.10333333333333336,3
3,Smaller VE,2,1,0.15275252316519466,0.08819171036881969,0.02333333333333333,3,0.3333333333333333,0.07637626158259735,0.04409585518440985,0.0058333333333333345,3,-0.8333333333333334,0.07637626158259735,0.04409585518440985,0.0058333333333333345,3,0.8333333333333334,0.1527525231651947,0.0881917103688197,0.023333333333333338,3
7,Smaller VE,2,1,0.05773502691896256,0.033333333333333326,0.003333333333333332,3,0.4666666666666667,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,-0.7666666666666667,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,0.7666666666666667,0.05773502691896263,0.03333333333333337,0.003333333333333339,3
9,Smaller VE,2,1,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,0.8333333333333334,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,-0.5833333333333334,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.5833333333333334,0.5773502691896257,0.3333333333333333,0.3333333333333333,3
11,Smaller VE,2,1,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,1.6666666666666667,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,-0.16666666666666666,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.16666666666666666,0.5773502691896257,0.3333333333333333,0.3333333333333333,3
12,Smaller VE,2,1,0.05773502691896256,0.033333333333333326,0.003333333333333332,3,0.43333333333333335,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,-0.7833333333333333,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,0.7833333333333333,0.05773502691896263,0.03333333333333337,0.003333333333333339,3
14,Smaller VE,2,1,0,0,0,3,0.5,0,0,0,3,-0.75,0,0,0,3,0.75,0,0,0,3
16,Smaller VE,2,1,0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3
18,Smaller VE,2,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.8333333333333334,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,-0.5833333333333334,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.5833333333333334,0.28867513459481287,0.16666666666666666,0.08333333333333333,3
20,Smaller VE,2,1,0.049999999999999996,0.028867513459481287,0.0024999999999999996,3,0.1,0.024999999999999967,0.014433756729740626,6.249999999999984e-4,3,-0.95,0.024999999999999967,0.014433756729740626,6.249999999999984e-4,3,0.95,0.04999999999999993,0.028867513459481253,0.0024999999999999935,3
22,Smaller VE,2,1,2.4664414311581235,1.4240006242195886,6.083333333333333,3,2.1666666666666665,1.2332207155790618,0.7120003121097943,1.5208333333333333,3,0.08333333333333333,0.5204164998665332,0.3004626062886658,0.2708333333333333,3,0.9166666666666666,1.0408329997330663,0.6009252125773316,1.0833333333333333,3
24,Smaller VE,2,1,0.11547005383792516,0.06666666666666668,0.013333333333333334,3,0.43333333333333335,0.05773502691896256,0.033333333333333326,0.003333333333333332,3,-0.7833333333333333,0.05773502691896256,0.033333333333333326,0.003333333333333332,3,0.7833333333333333,0.11547005383792512,0.06666666666666665,0.013333333333333327,3
26,Smaller VE,2,1,0.11547005383792512,0.06666666666666665,0.013333333333333327,3,0.4666666666666667,0.05773502691896263,0.03333333333333337,0.003333333333333339,3,-0.7666666666666667,0.05773502691896263,0.03333333333333337,0.003333333333333339,3,0.7666666666666667,0.11547005383792526,0.06666666666666674,0.013333333333333357,3
28,Smaller VE,2,1,0,0,0,3,2,0,0,0,3,0,0,0,0,3,0,0,0,0,3
30,Smaller VE,2,1,0,0,0,3,0.5,0,0,0,3,-0.75,0,0,0,3,0.75,0,0,0,3
34,Smaller VE,2,1,0.5,0.2886751345948129,0.25,3,1.5,0.25,0.14433756729740646,0.0625,3,-0.25,0.25,0.14433756729740646,0.0625,3,0.25,0.5,0.2886751345948129,0.25,3
36,Smaller VE,2,1,0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3
37,Smaller VE,2,1,0.4330127018922193,0.25,0.1875,3,1.25,0.21650635094610965,0.125,0.046875,3,-0.375,0.21650635094610965,0.125,0.046875,3,0.375,0.4330127018922193,0.25,0.1875,3
40,Smaller VE,2,1,0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3
42,Smaller VE,2,1,0.05773502691896256,0.033333333333333326,0.003333333333333332,3,0.4666666666666667,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,-0.7666666666666667,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,0.7666666666666667,0.05773502691896263,0.03333333333333337,0.003333333333333339,3
44,Smaller VE,2,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.6666666666666666,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,-0.6666666666666666,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.6666666666666666,0.28867513459481287,0.16666666666666666,0.08333333333333333,3
