nsub,nbloque,trial,distancia,respuesta,condicion_sala
1,3,6,9,2.5,SALA_PARLANTES
1,3,3,3.65,1.5,SALA_PARLANTES
1,3,4,4.9,2,SALA_PARLANTES
1,3,5,6.65,2,SALA_PARLANTES
1,3,2,2.7,1.8,SALA_PARLANTES
1,3,4,4.9,2,SALA_PARLANTES
1,3,2,2.7,1.5,SALA_PARLANTES
1,3,2,2.7,1.5,SALA_PARLANTES
1,3,3,3.65,1.2,SALA_PARLANTES
1,3,3,3.65,1.1,SALA_PARLANTES
1,3,1,2,1,SALA_PARLANTES
1,3,4,4.9,1.8,SALA_PARLANTES
1,3,6,9,2.5,SALA_PARLANTES
1,3,1,2,1.2,SALA_PARLANTES
1,3,6,9,2,SALA_PARLANTES
1,3,1,2,1,SALA_PARLANTES
1,3,5,6.65,1.8,SALA_PARLANTES
1,3,5,6.65,2,SALA_PARLANTES
2,3,6,9,0.4,SALA_PARLANTES
2,3,3,3.65,10,SALA_PARLANTES
2,3,5,6.65,0.1,SALA_PARLANTES
2,3,4,4.9,0.3,SALA_PARLANTES
2,3,4,4.9,0.2,SALA_PARLANTES
2,3,4,4.9,0.3,SALA_PARLANTES
2,3,3,3.65,0.15,SALA_PARLANTES
2,3,5,6.65,0.7,SALA_PARLANTES
2,3,1,2,0.05,SALA_PARLANTES
2,3,5,6.65,0.4,SALA_PARLANTES
2,3,6,9,0.8,SALA_PARLANTES
2,3,3,3.65,0.5,SALA_PARLANTES
2,3,2,2.7,0.2,SALA_PARLANTES
2,3,6,9,0.7,SALA_PARLANTES
2,3,2,2.7,0.3,SALA_PARLANTES
2,3,1,2,0.5,SALA_PARLANTES
2,3,2,2.7,0.17,SALA_PARLANTES
2,3,1,2,0.8,SALA_PARLANTES
3,3,1,2,1,SALA_PARLANTES
3,3,3,3.65,0.3,SALA_PARLANTES
3,3,2,2.7,0.4,SALA_PARLANTES
3,3,5,6.65,0.5,SALA_PARLANTES
3,3,3,3.65,0.3,SALA_PARLANTES
3,3,6,9,1.5,SALA_PARLANTES
3,3,4,4.9,1,SALA_PARLANTES
3,3,5,6.65,1.1,SALA_PARLANTES
3,3,2,2.7,0.7,SALA_PARLANTES
3,3,4,4.9,0.4,SALA_PARLANTES
3,3,6,9,1.5,SALA_PARLANTES
3,3,4,4.9,1.5,SALA_PARLANTES
3,3,6,9,2,SALA_PARLANTES
3,3,2,2.7,0.6,SALA_PARLANTES
3,3,5,6.65,0.8,SALA_PARLANTES
3,3,3,3.65,0.2,SALA_PARLANTES
3,3,1,2,0.1,SALA_PARLANTES
3,3,1,2,0.1,SALA_PARLANTES
4,3,3,3.65,2,SALA_PARLANTES
4,3,1,2,0.5,SALA_PARLANTES
4,3,3,3.65,2,SALA_PARLANTES
4,3,5,6.65,5,SALA_PARLANTES
4,3,3,3.65,2,SALA_PARLANTES
4,3,5,6.65,5,SALA_PARLANTES
4,3,2,2.7,2,SALA_PARLANTES
4,3,1,2,0.6,SALA_PARLANTES
4,3,2,2.7,2,SALA_PARLANTES
4,3,2,2.7,2,SALA_PARLANTES
4,3,4,4.9,5,SALA_PARLANTES
4,3,5,6.65,8,SALA_PARLANTES
4,3,4,4.9,5,SALA_PARLANTES
4,3,4,4.9,2,SALA_PARLANTES
4,3,6,9,10,SALA_PARLANTES
4,3,6,9,10,SALA_PARLANTES
4,3,1,2,0.5,SALA_PARLANTES
4,3,6,9,5,SALA_PARLANTES
6,3,4,4.9,3,SALA_PARLANTES
6,3,4,4.9,3,SALA_PARLANTES
6,3,1,2,2,SALA_PARLANTES
6,3,2,2.7,3,SALA_PARLANTES
6,3,3,3.65,4,SALA_PARLANTES
6,3,5,6.65,5,SALA_PARLANTES
6,3,3,3.65,2,SALA_PARLANTES
6,3,6,9,5,SALA_PARLANTES
6,3,3,3.65,2,SALA_PARLANTES
6,3,2,2.7,2,SALA_PARLANTES
6,3,5,6.65,4,SALA_PARLANTES
6,3,1,2,1,SALA_PARLANTES
6,3,6,9,4,SALA_PARLANTES
6,3,2,2.7,2,SALA_PARLANTES
6,3,6,9,5,SALA_PARLANTES
6,3,4,4.9,4,SALA_PARLANTES
6,3,1,2,1,SALA_PARLANTES
6,3,5,6.65,4,SALA_PARLANTES
7,3,1,2,0.5,SALA_PARLANTES
7,3,4,4.9,1.5,SALA_PARLANTES
7,3,6,9,3,SALA_PARLANTES
7,3,4,4.9,1.5,SALA_PARLANTES
7,3,3,3.65,1,SALA_PARLANTES
7,3,4,4.9,1,SALA_PARLANTES
7,3,6,9,1.5,SALA_PARLANTES
7,3,2,2.7,0.7,SALA_PARLANTES
7,3,1,2,0.5,SALA_PARLANTES
7,3,2,2.7,0.8,SALA_PARLANTES
7,3,6,9,3,SALA_PARLANTES
7,3,5,6.65,2.5,SALA_PARLANTES
7,3,3,3.65,1,SALA_PARLANTES
7,3,1,2,0.6,SALA_PARLANTES
7,3,5,6.65,2,SALA_PARLANTES
7,3,2,2.7,1.4,SALA_PARLANTES
7,3,5,6.65,2,SALA_PARLANTES
7,3,3,3.65,1,SALA_PARLANTES
8,3,4,4.9,3.5,SALA_PARLANTES
8,3,6,9,5,SALA_PARLANTES
8,3,3,3.65,4.5,SALA_PARLANTES
8,3,2,2.7,1.5,SALA_PARLANTES
8,3,1,2,1,SALA_PARLANTES
8,3,5,6.65,5,SALA_PARLANTES
8,3,3,3.65,4,SALA_PARLANTES
8,3,1,2,2,SALA_PARLANTES
8,3,6,9,5.5,SALA_PARLANTES
8,3,4,4.9,5,SALA_PARLANTES
8,3,4,4.9,4.5,SALA_PARLANTES
8,3,5,6.65,5,SALA_PARLANTES
8,3,3,3.65,5,SALA_PARLANTES
8,3,5,6.65,6,SALA_PARLANTES
8,3,6,9,7,SALA_PARLANTES
8,3,2,2.7,1.5,SALA_PARLANTES
8,3,2,2.7,1,SALA_PARLANTES
8,3,1,2,0.5,SALA_PARLANTES
9,3,1,2,1,SALA_PARLANTES
9,3,4,4.9,2,SALA_PARLANTES
9,3,4,4.9,3,SALA_PARLANTES
9,3,2,2.7,3,SALA_PARLANTES
9,3,1,2,1,SALA_PARLANTES
9,3,6,9,4,SALA_PARLANTES
9,3,6,9,5,SALA_PARLANTES
9,3,2,2.7,1,SALA_PARLANTES
9,3,1,2,0.5,SALA_PARLANTES
9,3,3,3.65,2,SALA_PARLANTES
9,3,5,6.65,3,SALA_PARLANTES
9,3,3,3.65,1,SALA_PARLANTES
9,3,3,3.65,2,SALA_PARLANTES
