"nsub" "block_1" "block_2" "SG_RV_volumen" "SG_RV_width" "SG_RV_depth" "SG_RV_height" "SC_RV_volumen" "SC_RV_width" "SC_RV_depth" "SC_RV_height" "SR_volumen" "SR_width" "SR_depth" "SR_height"
1 "Sala Grande" "Sala Chica" 140 5 10 2.8 87.5 5 7 2.5 201.6 6 12 2.8
2 "Sala Chica" "Sala Grande" 286 6.5 11 4 216 6 8 4.5 288 6 12 4
3 "Sala Grande" "Sala Chica" 200 5 10 4 54 3 6 3 120 4 10 3
4 "Sala Chica" "Sala Grande" 2500 20 25 5 1125 15 15 5 1500 15 25 4
6 "Sala Chica" "Sala Grande" 72 3 8 3 30 2 5 3 78 4 6.5 3
7 "Sala Grande" "Sala Chica" 84 4 7 3 60 4 5 3 112 4 8 3.5
8 "Sala Chica" "Sala Grande" 352 8 11 4 210.7 7 7 4.3 180 5 9 4
9 "Sala Grande" "Sala Chica" 280 7 8 5 200 5 8 5 245 7 7 5
10 "Sala Chica" "Sala Grande" 399 12 9.5 3.5 400 10 8 5 308 8 11 3.5
11 "Sala Grande" "Sala Chica" 140 5 8 3.5 78.75 5 4.5 3.5 126 4.5 8 3.5
12 "Sala Grande" "Sala Chica" 250 10 10 2.5 480 15 4 8 72 3 8 3
13 "Sala Chica" "Sala Grande" 140 5 7 4 120 5 6 4 140 5 7 4
14 "Sala Grande" "Sala Chica" 60 4 6 2.5 54 4 4.5 3 52.5 3.5 5 3
15 "Sala Chica" "Sala Grande" 225 5 9 5 60 5 3 4 337.5 5 15 4.5
16 "Sala Grande" "Sala Chica" 78.75 4.5 7 2.5 56.25 4.5 5 2.5 95.625 4.5 8.5 2.5
17 "Sala Chica" "Sala Grande" 25.2 3 4 2.1 12.6 3 2 2.1 45 3 6 2.5
18 "Sala Grande" "Sala Chica" 1500 20 15 5 450 10 10 4.5 150 5 10 3
19 "Sala Chica" "Sala Grande" 125 5 10 2.5 87.5 5 7 2.5 180 5 12 3
20 "Sala Grande" "Sala Chica" 2000 25 8 10 480 15 4 8 1200 20 15 4
21 "Sala Chica" "Sala Grande" 62.16 3.7 5.6 3 20.7 3 3 2.3 45 3 5 3
23 "Sala Chica" "Sala Grande" 420 10 12 3.5 255 8.5 10 3 390 10 13 3
24 "Sala Grande" "Sala Chica" 30 3 4 2.5 35 4 3.5 2.5 45 3 6 2.5
25 "Sala Chica" "Sala Grande" 160 4 10 4 96 4 6 4 360 6 15 4
26 "Sala Grande" "Sala Chica" 33.75 3 4.5 2.5 26.25 3 3.5 2.5 55 4 5 2.75
27 "Sala Chica" "Sala Grande" 140 5 10 2.8 98 5 7 2.8 98 5 7 2.8
29 "Sala Chica" "Sala Grande" 72 4 6 3 96 4 8 3 120 4 10 3
30 "Sala Grande" "Sala Chica" 49 3.5 4 3.5 26.25 3.5 2.5 3 48 4 4 3
31 "Sala Chica" "Sala Grande" 54 6 3 3 192 6 8 4 120 5 6 4
32 "Sala Grande" "Sala Chica" 180 6 10 3 75 5 6 2.5 144 6 8 3
33 "Sala Chica" "Sala Grande" 108 4 9 3 60 4 5 3 150 5 10 3
34 "Sala Grande" "Sala Chica" 180 6 10 3 60 4 5 3 60 4 6 2.5
35 "Sala Chica" "Sala Grande" 98 3.5 7 4 70 3.5 5 4 121.5 4.5 9 3
36 "Sala Grande" "Sala Chica" 5400 18 60 5 2000 10 40 5 1000 10 25 4
37 "Sala Chica" "Sala Grande" 225 9 10 2.5 87.5 7 5 2.5 165 6 11 2.5
39 "Sala Chica" "Sala Grande" 135 6 9 2.5 135 6 9 2.5 135 6 9 2.5
40 "Sala Grande" "Sala Chica" 162 6 9 3 196 7 8 3.5 180 6 10 3
41 "Sala Chica" "Sala Grande" 60 4 5 3 15 3 2 2.5 60 4 5 3
42 "Sala Grande" "Sala Chica" 20 2 4 2.5 15 2 3 2.5 31.25 2.5 5 2.5
43 "Sala Chica" "Sala Grande" 12 2 4 1.5 2 1 2 1 15 2.5 3 2
44 "Sala Grande" "Sala Chica" 500 10 10 5 150 10 5 3 400 10 10 4
45 "Sala Chica" "Sala Grande" 12240 30 17 24 4050 15 15 18 29716 34 38 23
46 "Sala Grande" "Sala Chica" 84 4 6 3.5 56 4 4 3.5 96 4 6 4
47 "Sala Chica" "Sala Grande" 1500 10 15 10 300 10 6 5 2000 10 20 10
48 "Sala Grande" "Sala Chica" 27 4.5 3 2 11.25 2.5 1.5 3 27 4.5 3 2
49 "Sala Chica" "Sala Grande" 11.25 2.5 3 1.5 7.5 2.5 2 1.5 11.25 2.5 3 1.5
50 "Sala Grande" "Sala Chica" 54 3 6 3 45 3 5 3 72 4 6 3
