"nsub" "nbloque" "trial" "distancia" "respuesta" "condicion_sala"
"S1" 1 5 6.65 2 "SALA_GRANDE"
"S1" 1 6 9 2.5 "SALA_GRANDE"
"S1" 1 2 2.7 2 "SALA_GRANDE"
"S1" 1 3 3.65 1.8 "SALA_GRANDE"
"S1" 1 1 2 1.6 "SALA_GRANDE"
"S1" 1 6 9 2.5 "SALA_GRANDE"
"S1" 1 4 4.9 2.5 "SALA_GRANDE"
"S1" 1 1 2 1.5 "SALA_GRANDE"
"S1" 1 2 2.7 1.5 "SALA_GRANDE"
"S1" 1 4 4.9 2 "SALA_GRANDE"
"S1" 1 2 2.7 1.6 "SALA_GRANDE"
"S1" 1 1 2 1 "SALA_GRANDE"
"S1" 1 3 3.65 1.6 "SALA_GRANDE"
"S1" 1 5 6.65 2 "SALA_GRANDE"
"S1" 1 4 4.9 2 "SALA_GRANDE"
"S1" 1 5 6.65 2 "SALA_GRANDE"
"S1" 1 3 3.65 1.8 "SALA_GRANDE"
"S1" 1 6 9 2.5 "SALA_GRANDE"
"S1" 2 5 6.65 2 "SALA_CHICA"
"S1" 2 6 9 2.1 "SALA_CHICA"
"S1" 2 5 6.65 2 "SALA_CHICA"
"S1" 2 3 3.65 1.5 "SALA_CHICA"
"S1" 2 4 4.9 1.8 "SALA_CHICA"
"S1" 2 6 9 2.5 "SALA_CHICA"
"S1" 2 4 4.9 2 "SALA_CHICA"
"S1" 2 2 2.7 1.5 "SALA_CHICA"
"S1" 2 3 3.65 1.5 "SALA_CHICA"
"S1" 2 1 2 1.2 "SALA_CHICA"
"S1" 2 1 2 1 "SALA_CHICA"
"S1" 2 4 4.9 2 "SALA_CHICA"
"S1" 2 2 2.7 1.6 "SALA_CHICA"
"S1" 2 5 6.65 2 "SALA_CHICA"
"S1" 2 2 2.7 2 "SALA_CHICA"
"S1" 2 3 3.65 1.8 "SALA_CHICA"
"S1" 2 6 9 2.5 "SALA_CHICA"
"S1" 2 1 2 1.5 "SALA_CHICA"
"S1" 3 6 9 2.5 "SALA_PARLANTES"
"S1" 3 3 3.65 1.5 "SALA_PARLANTES"
"S1" 3 4 4.9 2 "SALA_PARLANTES"
"S1" 3 5 6.65 2 "SALA_PARLANTES"
"S1" 3 2 2.7 1.8 "SALA_PARLANTES"
"S1" 3 4 4.9 2 "SALA_PARLANTES"
"S1" 3 2 2.7 1.5 "SALA_PARLANTES"
"S1" 3 2 2.7 1.5 "SALA_PARLANTES"
"S1" 3 3 3.65 1.2 "SALA_PARLANTES"
"S1" 3 3 3.65 1.1 "SALA_PARLANTES"
"S1" 3 1 2 1 "SALA_PARLANTES"
"S1" 3 4 4.9 1.8 "SALA_PARLANTES"
"S1" 3 6 9 2.5 "SALA_PARLANTES"
"S1" 3 1 2 1.2 "SALA_PARLANTES"
"S1" 3 6 9 2 "SALA_PARLANTES"
"S1" 3 1 2 1 "SALA_PARLANTES"
"S1" 3 5 6.65 1.8 "SALA_PARLANTES"
"S1" 3 5 6.65 2 "SALA_PARLANTES"
"S2" 1 6 9 1.3 "SALA_CHICA"
"S2" 1 6 9 1.3 "SALA_CHICA"
"S2" 1 3 3.65 0.8 "SALA_CHICA"
"S2" 1 4 4.9 0.85 "SALA_CHICA"
"S2" 1 5 6.65 0.8 "SALA_CHICA"
"S2" 1 2 2.7 0.4 "SALA_CHICA"
"S2" 1 6 9 0.7 "SALA_CHICA"
"S2" 1 1 2 0.1 "SALA_CHICA"
"S2" 1 4 4.9 0.1 "SALA_CHICA"
"S2" 1 2 2.7 0.1 "SALA_CHICA"
"S2" 1 1 2 0.5 "SALA_CHICA"
"S2" 1 1 2 0.05 "SALA_CHICA"
"S2" 1 3 3.65 0.2 "SALA_CHICA"
"S2" 1 5 6.65 0.4 "SALA_CHICA"
"S2" 1 2 2.7 0.3 "SALA_CHICA"
"S2" 1 3 3.65 0.15 "SALA_CHICA"
"S2" 1 4 4.9 0.7 "SALA_CHICA"
"S2" 1 5 6.65 1 "SALA_CHICA"
"S2" 2 4 4.9 0.05 "SALA_GRANDE"
"S2" 2 6 9 0.4 "SALA_GRANDE"
"S2" 2 2 2.7 0.05 "SALA_GRANDE"
"S2" 2 2 2.7 0.03 "SALA_GRANDE"
"S2" 2 5 6.65 0.3 "SALA_GRANDE"
"S2" 2 4 4.9 0.2 "SALA_GRANDE"
"S2" 2 2 2.7 0.15 "SALA_GRANDE"
"S2" 2 5 6.65 0.4 "SALA_GRANDE"
"S2" 2 6 9 0.7 "SALA_GRANDE"
"S2" 2 1 2 0.02 "SALA_GRANDE"
"S2" 2 3 3.65 0.1 "SALA_GRANDE"
"S2" 2 3 3.65 0.2 "SALA_GRANDE"
"S2" 2 6 9 1 "SALA_GRANDE"
"S2" 2 5 6.65 0.8 "SALA_GRANDE"
"S2" 2 1 2 0.1 "SALA_GRANDE"
"S2" 2 1 2 0.05 "SALA_GRANDE"
"S2" 2 4 4.9 0.4 "SALA_GRANDE"
"S2" 2 3 3.65 0.2 "SALA_GRANDE"
"S2" 3 6 9 0.4 "SALA_PARLANTES"
"S2" 3 3 3.65 10 "SALA_PARLANTES"
"S2" 3 5 6.65 0.1 "SALA_PARLANTES"
"S2" 3 4 4.9 0.3 "SALA_PARLANTES"
"S2" 3 4 4.9 0.2 "SALA_PARLANTES"
"S2" 3 4 4.9 0.3 "SALA_PARLANTES"
"S2" 3 3 3.65 0.15 "SALA_PARLANTES"
"S2" 3 5 6.65 0.7 "SALA_PARLANTES"
"S2" 3 1 2 0.05 "SALA_PARLANTES"
"S2" 3 5 6.65 0.4 "SALA_PARLANTES"
"S2" 3 6 9 0.8 "SALA_PARLANTES"
"S2" 3 3 3.65 0.5 "SALA_PARLANTES"
"S2" 3 2 2.7 0.2 "SALA_PARLANTES"
"S2" 3 6 9 0.7 "SALA_PARLANTES"
"S2" 3 2 2.7 0.3 "SALA_PARLANTES"
"S2" 3 1 2 0.5 "SALA_PARLANTES"
"S2" 3 2 2.7 0.17 "SALA_PARLANTES"
"S2" 3 1 2 0.8 "SALA_PARLANTES"
"S3" 1 1 2 0.5 "SALA_GRANDE"
"S3" 1 3 3.65 0.7 "SALA_GRANDE"
"S3" 1 2 2.7 0.7 "SALA_GRANDE"
"S3" 1 5 6.65 1 "SALA_GRANDE"
"S3" 1 3 3.65 0.9 "SALA_GRANDE"
"S3" 1 4 4.9 1 "SALA_GRANDE"
"S3" 1 5 6.65 1.1 "SALA_GRANDE"
"S3" 1 1 2 0.3 "SALA_GRANDE"
"S3" 1 4 4.9 0.5 "SALA_GRANDE"
"S3" 1 6 9 1.5 "SALA_GRANDE"
"S3" 1 5 6.65 1 "SALA_GRANDE"
"S3" 1 6 9 1.1 "SALA_GRANDE"
"S3" 1 2 2.7 1 "SALA_GRANDE"
"S3" 1 6 9 1.5 "SALA_GRANDE"
"S3" 1 2 2.7 0.7 "SALA_GRANDE"
"S3" 1 1 2 0.2 "SALA_GRANDE"
"S3" 1 3 3.65 0.4 "SALA_GRANDE"
"S3" 1 4 4.9 1.1 "SALA_GRANDE"
"S3" 2 6 9 1 "SALA_CHICA"
"S3" 2 1 2 0.2 "SALA_CHICA"
"S3" 2 1 2 0.1 "SALA_CHICA"
"S3" 2 2 2.7 0.3 "SALA_CHICA"
"S3" 2 4 4.9 0.5 "SALA_CHICA"
"S3" 2 2 2.7 0.5 "SALA_CHICA"
"S3" 2 5 6.65 1 "SALA_CHICA"
"S3" 2 4 4.9 1 "SALA_CHICA"
"S3" 2 6 9 1.1 "SALA_CHICA"
"S3" 2 6 9 1.2 "SALA_CHICA"
"S3" 2 3 3.65 0.2 "SALA_CHICA"
"S3" 2 3 3.65 0.2 "SALA_CHICA"
"S3" 2 1 2 0.1 "SALA_CHICA"
"S3" 2 2 2.7 0.3 "SALA_CHICA"
"S3" 2 5 6.65 0.5 "SALA_CHICA"
"S3" 2 4 4.9 0.5 "SALA_CHICA"
"S3" 2 3 3.65 0.4 "SALA_CHICA"
"S3" 2 5 6.65 0.6 "SALA_CHICA"
"S3" 3 1 2 1 "SALA_PARLANTES"
"S3" 3 3 3.65 0.3 "SALA_PARLANTES"
"S3" 3 2 2.7 0.4 "SALA_PARLANTES"
"S3" 3 5 6.65 0.5 "SALA_PARLANTES"
"S3" 3 3 3.65 0.3 "SALA_PARLANTES"
"S3" 3 6 9 1.5 "SALA_PARLANTES"
"S3" 3 4 4.9 1 "SALA_PARLANTES"
"S3" 3 5 6.65 1.1 "SALA_PARLANTES"
