"nsub" "block_1" "block_2" "SG_RV_volumen" "SG_RV_width" "SG_RV_depth" "SG_RV_height" "SC_RV_volumen" "SC_RV_width" "SC_RV_depth" "SC_RV_height" "SR_volumen" "SR_width" "SR_depth" "SR_height"
1 "Sala Grande" "Sala Chica" 140 5 10 2.8 87.5 5 7 2.5 201.6 6 12 2.8
2 "Sala Chica" "Sala Grande" 286 6.5 11 4 216 6 8 4.5 288 6 12 4
3 "Sala Grande" "Sala Chica" 200 5 10 4 54 3 6 3 120 4 10 3
4 "Sala Chica" "Sala Grande" 2500 20 25 5 1125 15 15 5 1500 15 25 4
5 "Sala Grande" "Sala Chica" 720 12 15 4 560 14 10 4 700 10 20 3.5
6 "Sala Chica" "Sala Grande" 72 3 8 3 30 2 5 3 78 4 6.5 3
7 "Sala Grande" "Sala Chica" 84 4 7 3 60 4 5 3 112 4 8 3.5
8 "Sala Chica" "Sala Grande" 352 8 11 4 210.7 7 7 4.3 180 5 9 4
9 "Sala Grande" "Sala Chica" 280 7 8 5 200 5 8 5 245 7 7 5
10 "Sala Chica" "Sala Grande" 399 12 9.5 3.5 400 10 8 5 308 8 11 3.5
11 "Sala Grande" "Sala Chica" 140 5 8 3.5 78.75 5 4.5 3.5 126 4.5 8 3.5
